x,y,LOCAL_DAY,CLIMATE_IDENTIFIER,STATION_NAME,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,SPEED_MAX_GUST,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,LOCAL_MONTH,SNOW_ON_GROUND,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,ID,HEATING_DEGREE_DAYS,LOCAL_DATE,MAX_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,PROVINCE_CODE
-120.8333333,56.25,27,1182998,FORT ST JOHN,,,,0,,0,,,0,,-5,,1910,-13.1,,,1,,,-21.1,,,1182998.1910.1.27,31.1,1910-01-27 0:00,,,,0,,BC
-120.8333333,56.25,28,1182998,FORT ST JOHN,,,,0,,0,,,0,,-2.2,,1910,-8.6,,,1,,,-15,,,1182998.1910.1.28,26.6,1910-01-28 0:00,,,,0,,BC
-120.8333333,56.25,29,1182998,FORT ST JOHN,,,,0,,0,,,0,,-3.3,,1910,-8.6,,,1,,,-13.9,,,1182998.1910.1.29,26.6,1910-01-29 0:00,,,,0,,BC
-120.8333333,56.25,30,1182998,FORT ST JOHN,,,,0,,0,,,0,,2.2,,1910,-3.9,,,1,,,-10,,,1182998.1910.1.30,21.9,1910-01-30 0:00,,,,0,,BC
-120.8333333,56.25,31,1182998,FORT ST JOHN,,,,0,,0,,,0,,1.7,,1910,-7.5,,,1,,,-16.7,,,1182998.1910.1.31,25.5,1910-01-31 0:00,,,,0,,BC
-120.8333333,56.25,1,1182998,FORT ST JOHN,,,,0,,0,,,0,,-2.8,,1910,-9.8,,,2,,,-16.7,,,1182998.1910.2.1,27.8,1910-02-01 0:00,,,,0,,BC
-120.8333333,56.25,2,1182998,FORT ST JOHN,,,,0,,0,,,0,,0.6,,1910,-4.4,,,2,,,-9.4,,,1182998.1910.2.2,22.4,1910-02-02 0:00,,,,0,,BC
-120.8333333,56.25,3,1182998,FORT ST JOHN,,,,0,,0,,,0,,3.3,,1910,-7.3,,,2,,,-17.8,,,1182998.1910.2.3,25.3,1910-02-03 0:00,,,,0,,BC
-120.8333333,56.25,4,1182998,FORT ST JOHN,,,,0,,0,,,0,,3.3,,1910,-5.3,,,2,,,-13.9,,,1182998.1910.2.4,23.3,1910-02-04 0:00,,,,0,,BC
-120.8333333,56.25,5,1182998,FORT ST JOHN,,,,0,,0,,,0,,3.3,,1910,-6.2,,,2,,,-15.6,,,1182998.1910.2.5,24.2,1910-02-05 0:00,,,,0,,BC
-120.8333333,56.25,6,1182998,FORT ST JOHN,,,,0,,0,,,0,,2.2,,1910,-2,,,2,,,-6.1,,,1182998.1910.2.6,20,1910-02-06 0:00,,,,0,,BC
-120.8333333,56.25,7,1182998,FORT ST JOHN,,,,0,,0,,,0,,3.3,,1910,-7.5,,,2,,,-18.3,,,1182998.1910.2.7,25.5,1910-02-07 0:00,,,,0,,BC
-120.8333333,56.25,8,1182998,FORT ST JOHN,,,,0,,0,,,0,,-6.1,,1910,-14.7,,,2,,,-23.3,,,1182998.1910.2.8,32.7,1910-02-08 0:00,,,,0,,BC
-120.8333333,56.25,9,1182998,FORT ST JOHN,,,,0,,0,,,0,,-11.1,,1910,-16.4,,,2,,,-21.7,,,1182998.1910.2.9,34.4,1910-02-09 0:00,,,,0,,BC
-120.8333333,56.25,10,1182998,FORT ST JOHN,,,,0,,0,,,0,,-9.4,,1910,-13.9,,,2,,,-18.3,,,1182998.1910.2.10,31.9,1910-02-10 0:00,,,,0,,BC
-120.8333333,56.25,11,1182998,FORT ST JOHN,,,,0,,0,,,0,,-5,,1910,-8.9,,,2,,,-12.8,,,1182998.1910.2.11,26.9,1910-02-11 0:00,,,,0,,BC
-120.8333333,56.25,12,1182998,FORT ST JOHN,,,,0,,0,,,0,,1.1,,1910,-8.6,,,2,,,-18.3,,,1182998.1910.2.12,26.6,1910-02-12 0:00,,,,0,,BC
-120.8333333,56.25,13,1182998,FORT ST JOHN,,,,0.3,,0,,,0.3,,-3.3,,1910,-13.6,,,2,,,-23.9,,,1182998.1910.2.13,31.6,1910-02-13 0:00,,,,0,,BC
-120.8333333,56.25,14,1182998,FORT ST JOHN,,,,0,,0,,,0,,-9.4,,1910,-16.7,,,2,,,-23.9,,,1182998.1910.2.14,34.7,1910-02-14 0:00,,,,0,,BC
-120.8333333,56.25,15,1182998,FORT ST JOHN,,,,0,,0,,,0,,-14.4,,1910,-22.5,,,2,,,-30.6,,,1182998.1910.2.15,40.5,1910-02-15 0:00,,,,0,,BC
-120.8333333,56.25,16,1182998,FORT ST JOHN,,,,0,,1.3,,,1.3,,-16.1,,1910,-23.9,,,2,,,-31.7,,,1182998.1910.2.16,41.9,1910-02-16 0:00,,,,0,,BC
-120.8333333,56.25,17,1182998,FORT ST JOHN,,,,0,,0,,,0,,-17.8,,1910,-23.1,,,2,,,-28.3,,,1182998.1910.2.17,41.1,1910-02-17 0:00,,,,0,,BC
-120.8333333,56.25,18,1182998,FORT ST JOHN,,,,0,,0,,,0,,-14.4,,1910,-19.4,,,2,,,-24.4,,,1182998.1910.2.18,37.4,1910-02-18 0:00,,,,0,,BC
-120.8333333,56.25,19,1182998,FORT ST JOHN,,,,0,,0,,,0,,-10,,1910,-20.3,,,2,,,-30.6,,,1182998.1910.2.19,38.3,1910-02-19 0:00,,,,0,,BC
-120.8333333,56.25,20,1182998,FORT ST JOHN,,,,0,,0,,,0,,-16.7,,1910,-24.2,,,2,,,-31.7,,,1182998.1910.2.20,42.2,1910-02-20 0:00,,,,0,,BC
-120.8333333,56.25,21,1182998,FORT ST JOHN,,,,0,,0,,,0,,-18.9,,1910,-26.7,,,2,,,-34.4,,,1182998.1910.2.21,44.7,1910-02-21 0:00,,,,0,,BC
-120.8333333,56.25,22,1182998,FORT ST JOHN,,,,0,,0,,,0,,-17.2,,1910,-25.3,,,2,,,-33.3,,,1182998.1910.2.22,43.3,1910-02-22 0:00,,,,0,,BC
-120.8333333,56.25,23,1182998,FORT ST JOHN,,,,0,,0,,,0,,-18.3,,1910,-27.2,,,2,,,-36.1,,,1182998.1910.2.23,45.2,1910-02-23 0:00,,,,0,,BC
-120.8333333,56.25,24,1182998,FORT ST JOHN,,,,0,,0,,,0,,-16.7,,1910,-21.4,,,2,,,-26.1,,,1182998.1910.2.24,39.4,1910-02-24 0:00,,,,0,,BC
-120.8333333,56.25,25,1182998,FORT ST JOHN,,,,0,,8.9,,,8.9,,-16.7,,1910,-20,,,2,,,-23.3,,,1182998.1910.2.25,38,1910-02-25 0:00,,,,0,,BC
-120.8333333,56.25,26,1182998,FORT ST JOHN,,,,0,,0,,,0,,-16.7,,1910,-22,,,2,,,-27.2,,,1182998.1910.2.26,40,1910-02-26 0:00,,,,0,,BC
-120.8333333,56.25,27,1182998,FORT ST JOHN,,,,0,,0,,,0,,-11.1,,1910,-18.6,,,2,,,-26.1,,,1182998.1910.2.27,36.6,1910-02-27 0:00,,,,0,,BC
-120.8333333,56.25,28,1182998,FORT ST JOHN,,,,0,,0,,,0,,-14.4,,1910,-21.4,,,2,,,-28.3,,,1182998.1910.2.28,39.4,1910-02-28 0:00,,,,0,,BC
-120.8333333,56.25,1,1182998,FORT ST JOHN,,,,0,,3.8,,,3.8,,-12.8,,1910,-18.9,,,3,,,-25,,,1182998.1910.3.1,36.9,1910-03-01 0:00,,,,0,,BC
