x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.1,,0,,21,,,,-1.1,,,,1163780,0,,,BC,1951-01-21 00:00:00,,1.3,1951,1163780.1951.1.21,,2.5,,,1.3,,15.5,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,4.4,,0,,22,,,,-11.7,,,,1163780,0,,,BC,1951-01-22 00:00:00,,0,1951,1163780.1951.1.22,,-3.7,,,0,,21.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.1,,0,,23,,,,-2.2,,,,1163780,0,,,BC,1951-01-23 00:00:00,,0,1951,1163780.1951.1.23,,2,,,0,,16,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,1.1,,0,,24,,,,-5.6,,,,1163780,0.5,,,BC,1951-01-24 00:00:00,,18.3,1951,1163780.1951.1.24,,-2.3,,,17.8,,20.3,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.3,,0,,25,,,,-0.6,,,,1163780,0.5,,,BC,1951-01-25 00:00:00,,0.5,1951,1163780.1951.1.25,,1.4,,,0,,16.6,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-8.9,,0,,26,,,,-16.7,,,,1163780,0.5,,,BC,1951-01-26 00:00:00,,0.5,1951,1163780.1951.1.26,,-12.8,,,0,,30.8,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-17.2,,0,,27,,,,-25.6,,,,1163780,0,,,BC,1951-01-27 00:00:00,,0,1951,1163780.1951.1.27,,-21.4,,,0,,39.4,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-18.3,,0,,28,,,,-30,,,,1163780,0,,,BC,1951-01-28 00:00:00,,0,1951,1163780.1951.1.28,,-24.2,,,0,,42.2,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-18.3,,0,,29,,,,-27.2,,,,1163780,0,,,BC,1951-01-29 00:00:00,,0,1951,1163780.1951.1.29,,-22.8,,,0,,40.8,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-16.1,,0,,30,,,,-27.2,,,,1163780,0,,,BC,1951-01-30 00:00:00,,0,1951,1163780.1951.1.30,,-21.7,,,0,,39.7,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-17.8,,0,,31,,,,-28.9,,,,1163780,0,,,BC,1951-01-31 00:00:00,,0,1951,1163780.1951.1.31,,-23.4,,,0,,41.4,,1
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-8.3,,0,,1,,,,-18.9,,,,1163780,0,,,BC,1951-02-01 00:00:00,,6.6,1951,1163780.1951.2.1,,-13.6,,,6.6,,31.6,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-2.2,,0,,2,,,,-12.2,,,,1163780,0,,,BC,1951-02-02 00:00:00,,0,1951,1163780.1951.2.2,,-7.2,,,0,,25.2,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,1.1,,0,,3,,,,-6.7,,,,1163780,0,,,BC,1951-02-03 00:00:00,,0,1951,1163780.1951.2.3,,-2.8,,,0,,20.8,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-2.2,,0,,4,,,,-12.2,,,,1163780,0,,,BC,1951-02-04 00:00:00,,0,1951,1163780.1951.2.4,,-7.2,,,0,,25.2,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-0.6,,0,,5,,,,-12.2,,,,1163780,0,,,BC,1951-02-05 00:00:00,T,0,1951,1163780.1951.2.5,T,-6.4,,,0,,24.4,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-5,,0,,6,,,,-10.6,,,,1163780,0,,,BC,1951-02-06 00:00:00,,5.6,1951,1163780.1951.2.6,,-7.8,,,5.6,,25.8,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-2.8,,0,,7,,,,-8.9,,,,1163780,0,,,BC,1951-02-07 00:00:00,T,0,1951,1163780.1951.2.7,T,-5.9,,,0,,23.9,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.3,,0,,8,,,,-8.9,,,,1163780,0,,,BC,1951-02-08 00:00:00,,0,1951,1163780.1951.2.8,,-2.8,,,0,,20.8,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.2,,0,,9,,,,0,,,,1163780,18,,,BC,1951-02-09 00:00:00,,20.6,1951,1163780.1951.2.9,,1.1,,,2.5,,16.9,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.2,,0,,10,,,,-2.2,,,,1163780,0,,,BC,1951-02-10 00:00:00,,7.4,1951,1163780.1951.2.10,,0,,,7.4,,18,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-6.7,,0,,11,,,,-12.8,,,,1163780,0,,,BC,1951-02-11 00:00:00,,0,1951,1163780.1951.2.11,,-9.8,,,0,,27.8,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-8.3,,0,,12,,,,-22.2,,,,1163780,0,,,BC,1951-02-12 00:00:00,,0,1951,1163780.1951.2.12,,-15.3,,,0,,33.3,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-7.2,,0,,13,,,,-20.6,,,,1163780,0,,,BC,1951-02-13 00:00:00,T,0,1951,1163780.1951.2.13,T,-13.9,,,0,,31.9,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.1,,0,,14,,,,-12.2,,,,1163780,0,,,BC,1951-02-14 00:00:00,,0,1951,1163780.1951.2.14,,-6.7,,,0,,24.7,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.8,,0,,15,,,,-7.8,,,,1163780,0,,,BC,1951-02-15 00:00:00,,0,1951,1163780.1951.2.15,,-2.5,,,0,,20.5,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,1.7,,0,,16,,,,-15,,,,1163780,0,,,BC,1951-02-16 00:00:00,,0,1951,1163780.1951.2.16,,-6.7,,,0,,24.7,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.8,,0,,17,,,,-1.1,,,,1163780,0,,,BC,1951-02-17 00:00:00,,7.6,1951,1163780.1951.2.17,,0.9,,,7.6,,17.1,T,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5,,0,,18,,,,-1.7,,,,1163780,0,,,BC,1951-02-18 00:00:00,,0,1951,1163780.1951.2.18,,1.7,,,0,,16.3,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.8,,0,,19,,,,-3.3,,,,1163780,0,,,BC,1951-02-19 00:00:00,T,0,1951,1163780.1951.2.19,T,-0.3,,,0,,18.3,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5.6,,0,,20,,,,-1.7,,,,1163780,0,,,BC,1951-02-20 00:00:00,,2.5,1951,1163780.1951.2.20,,2,,,2.5,,16,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.9,,0,,21,,,,-9.4,,,,1163780,0,,,BC,1951-02-21 00:00:00,,0,1951,1163780.1951.2.21,,-2.8,,,0,,20.8,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0,,0,,22,,,,-13.3,,,,1163780,0,,,BC,1951-02-22 00:00:00,,0,1951,1163780.1951.2.22,,-6.7,,,0,,24.7,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.7,,0,,23,,,,-15.6,,,,1163780,0,,,BC,1951-02-23 00:00:00,,0,1951,1163780.1951.2.23,,-8.7,,,0,,26.7,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,2.8,,0,,24,,,,-9.4,,,,1163780,0,,,BC,1951-02-24 00:00:00,,0,1951,1163780.1951.2.24,,-3.3,,,0,,21.3,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0.6,,0,,25,,,,-8.3,,,,1163780,0,,,BC,1951-02-25 00:00:00,,0,1951,1163780.1951.2.25,,-3.9,,,0,,21.9,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0,,0,,26,,,,-11.1,,,,1163780,0,,,BC,1951-02-26 00:00:00,,0,1951,1163780.1951.2.26,,-5.6,,,0,,23.6,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-0.6,,0,,27,,,,-15.6,,,,1163780,0,,,BC,1951-02-27 00:00:00,,0,1951,1163780.1951.2.27,,-8.1,,,0,,26.1,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.7,,0,,28,,,,-15,,,,1163780,0,,,BC,1951-02-28 00:00:00,,0,1951,1163780.1951.2.28,,-8.4,,,0,,26.4,,2
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,0,,0,,1,,,,-12.2,,,,1163780,0,,,BC,1951-03-01 00:00:00,,0,1951,1163780.1951.3.1,,-6.1,,,0,,24.1,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-1.7,,0,,2,,,,-13.9,,,,1163780,0,,,BC,1951-03-02 00:00:00,,0,1951,1163780.1951.3.2,,-7.8,,,0,,25.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-0.6,,0,,3,,,,-9.4,,,,1163780,0,,,BC,1951-03-03 00:00:00,T,0,1951,1163780.1951.3.3,T,-5,,,0,,23,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-0.6,,0,,4,,,,-12.2,,,,1163780,0,,,BC,1951-03-04 00:00:00,,4.1,1951,1163780.1951.3.4,,-6.4,,,4.1,,24.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-15,,0,,5,,,,-21.7,,,,1163780,0,,,BC,1951-03-05 00:00:00,T,0,1951,1163780.1951.3.5,T,-18.4,,,0,,36.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-13.9,,0,,6,,,,-21.1,,,,1163780,0,,,BC,1951-03-06 00:00:00,,1.3,1951,1163780.1951.3.6,,-17.5,,,1.3,,35.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-10.6,,0,,7,,,,-20,,,,1163780,0,,,BC,1951-03-07 00:00:00,,1.3,1951,1163780.1951.3.7,,-15.3,,,1.3,,33.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-10.6,,0,,8,,,,-14.4,,,,1163780,0,,,BC,1951-03-08 00:00:00,,5.3,1951,1163780.1951.3.8,,-12.5,,,5.3,,30.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-8.9,,0,,9,,,,-18.9,,,,1163780,0,,,BC,1951-03-09 00:00:00,T,0,1951,1163780.1951.3.9,T,-13.9,,,0,,31.9,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-6.1,,0,,10,,,,-16.1,,,,1163780,0,,,BC,1951-03-10 00:00:00,,0,1951,1163780.1951.3.10,,-11.1,,,0,,29.1,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,-0.6,,0,,11,,,,-25,,,,1163780,0,,,BC,1951-03-11 00:00:00,,0,1951,1163780.1951.3.11,,-12.8,,,0,,30.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,3.9,,0,,12,,,,-9.4,,,,1163780,0,,,BC,1951-03-12 00:00:00,T,0,1951,1163780.1951.3.12,T,-2.8,,,0,,20.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,6.1,,0,,13,,,,-1.7,,,,1163780,0,,,BC,1951-03-13 00:00:00,,0,1951,1163780.1951.3.13,,2.2,,,0,,15.8,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,8.9,,0,,14,,,,-1.7,,,,1163780,0,,,BC,1951-03-14 00:00:00,,0,1951,1163780.1951.3.14,,3.6,,,0,,14.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,10,,0,,15,,,,1.1,,,,1163780,3.6,,,BC,1951-03-15 00:00:00,,3.6,1951,1163780.1951.3.15,,5.6,,,0,,12.4,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,5,,0,,16,,,,0,,,,1163780,0,,,BC,1951-03-16 00:00:00,,0,1951,1163780.1951.3.16,,2.5,,,0,,15.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,4.4,,0,,17,,,,-5,,,,1163780,0,,,BC,1951-03-17 00:00:00,,0,1951,1163780.1951.3.17,,-0.3,,,0,,18.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,4.4,,0,,18,,,,-3.9,,,,1163780,0,,,BC,1951-03-18 00:00:00,,0,1951,1163780.1951.3.18,,0.3,,,0,,17.7,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.4,,0,,19,,,,-3.9,,,,1163780,0,,,BC,1951-03-19 00:00:00,,0,1951,1163780.1951.3.19,,2.8,,,0,,15.2,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,8.9,,0,,20,,,,-1.1,,,,1163780,0,,,BC,1951-03-20 00:00:00,,0,1951,1163780.1951.3.20,,3.9,,,0,,14.1,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,12.8,,0,,21,,,,0.6,,,,1163780,0,,,BC,1951-03-21 00:00:00,,0,1951,1163780.1951.3.21,,6.7,,,0,,11.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,8.9,,0,,22,,,,0,,,,1163780,0,,,BC,1951-03-22 00:00:00,,0,1951,1163780.1951.3.22,,4.5,,,0,,13.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,11.1,,0,,23,,,,-1.1,,,,1163780,0,,,BC,1951-03-23 00:00:00,,0,1951,1163780.1951.3.23,,5,,,0,,13,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,9.4,,0,,24,,,,-0.6,,,,1163780,0,,,BC,1951-03-24 00:00:00,,0,1951,1163780.1951.3.24,,4.4,,,0,,13.6,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.9,,0,,25,,,,5,,,,1163780,0,,,BC,1951-03-25 00:00:00,,0,1951,1163780.1951.3.25,,9.5,,,0,,8.5,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,13.3,,0,,26,,,,0,,,,1163780,0,,,BC,1951-03-26 00:00:00,,0,1951,1163780.1951.3.26,,6.7,,,0,,11.3,,3
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,11.1,,0,,27,,,,0,,,,1163780,0,,,BC,1951-03-27 00:00:00,,0,1951,1163780.1951.3.27,,5.6,,,0,,12.4,,3
