x,y,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,LOCAL_DAY,TOTAL_PRECIPITATION,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,ID,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,LOCAL_DATE,LOCAL_YEAR,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST
-122.67888888888889,53.89083333333333,,-6.7,22.5,5,0,12,,0,1096450.1969.12.5,,1096450,0,PRINCE GEORGE A,,,93,-4.5,,,-2.2,0,,,BC,1969-12-05 00:00:00,1969,98,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5,20.8,6,2.8,12,,0,1096450.1969.12.6,,1096450,2.5,PRINCE GEORGE A,,,94,-2.8,,T,-0.6,0,,,BC,1969-12-06 00:00:00,1969,100,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-9.4,23.8,7,0,12,,0,1096450.1969.12.7,,1096450,0,PRINCE GEORGE A,,,90,-5.8,,,-2.2,3,,,BC,1969-12-07 00:00:00,1969,98,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5,20.2,8,3.8,12,,0,1096450.1969.12.8,,1096450,3.8,PRINCE GEORGE A,,,89,-2.2,,,0.6,3,,,BC,1969-12-08 00:00:00,1969,97,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-2.8,19.1,9,1,12,,0,1096450.1969.12.9,,1096450,1,PRINCE GEORGE A,,,84,-1.1,,,0.6,8,,,BC,1969-12-09 00:00:00,1969,99,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-5.6,20.8,10,0,12,T,0,1096450.1969.12.10,,1096450,0,PRINCE GEORGE A,,,88,-2.8,,,0,8,,T,BC,1969-12-10 00:00:00,1969,100,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-8.9,19.7,11,1.3,12,,61,1096450.1969.12.11,,1096450,1.5,PRINCE GEORGE A,,,66,-1.7,,,5.6,8,,,BC,1969-12-11 00:00:00,1969,97,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,-1.7,16.3,12,0,12,T,39,1096450.1969.12.12,,1096450,0,PRINCE GEORGE A,,,63,1.7,,,5,8,,,BC,1969-12-12 00:00:00,1969,91,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,-1.7,14.9,13,0,12,T,69,1096450.1969.12.13,,1096450,0,PRINCE GEORGE A,,,61,3.1,,,7.8,5,,T,BC,1969-12-13 00:00:00,1969,87,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,-3.3,16.3,14,0,12,,51,1096450.1969.12.14,,1096450,0,PRINCE GEORGE A,,,63,1.7,,,6.7,5,,,BC,1969-12-14 00:00:00,1969,84,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-2.8,19.1,15,0,12,T,34,1096450.1969.12.15,,1096450,0,PRINCE GEORGE A,,,75,-1.1,,,0.6,3,,T,BC,1969-12-15 00:00:00,1969,86,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-7.8,22.8,16,0,12,T,0,1096450.1969.12.16,,1096450,0,PRINCE GEORGE A,,,85,-4.8,,,-1.7,3,,T,BC,1969-12-16 00:00:00,1969,96,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-9.4,25.2,17,0,12,T,0,1096450.1969.12.17,,1096450,0,PRINCE GEORGE A,,,77,-7.2,,,-5,3,,T,BC,1969-12-17 00:00:00,1969,94,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-9.4,23.6,18,0,12,T,0,1096450.1969.12.18,,1096450,0.3,PRINCE GEORGE A,,,74,-5.6,,,-1.7,3,,,BC,1969-12-18 00:00:00,1969,91,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-7.2,22.2,19,0,12,,0,1096450.1969.12.19,,1096450,0,PRINCE GEORGE A,,,79,-4.2,,,-1.1,3,,,BC,1969-12-19 00:00:00,1969,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5,22.2,20,0,12,T,0,1096450.1969.12.20,,1096450,0,PRINCE GEORGE A,,,87,-4.2,,,-3.3,3,,T,BC,1969-12-20 00:00:00,1969,94,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-5,21.6,21,3,12,,0,1096450.1969.12.21,,1096450,4.3,PRINCE GEORGE A,,,89,-3.6,,,-2.2,3,,,BC,1969-12-21 00:00:00,1969,97,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-6.7,20.3,22,2.3,12,,31,1096450.1969.12.22,,1096450,2,PRINCE GEORGE A,,,91,-2.3,,,2.2,8,,,BC,1969-12-22 00:00:00,1969,99,,,0.3,0,,,18
-122.67888888888889,53.89083333333333,,-4.4,18.6,23,0,12,T,69,1096450.1969.12.23,,1096450,0,PRINCE GEORGE A,,,58,-0.6,,,3.3,8,,T,BC,1969-12-23 00:00:00,1969,89,,,0,0,T,,18
-122.67888888888889,53.89083333333333,,-9.4,23.8,24,0,12,,0,1096450.1969.12.24,,1096450,0,PRINCE GEORGE A,,,75,-5.8,,,-2.2,5,,,BC,1969-12-24 00:00:00,1969,91,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-6.7,21.9,25,0,12,,0,1096450.1969.12.25,,1096450,0,PRINCE GEORGE A,,,72,-3.9,,,-1.1,5,,,BC,1969-12-25 00:00:00,1969,91,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-6.1,23.3,26,0.3,12,,0,1096450.1969.12.26,,1096450,0.8,PRINCE GEORGE A,,,85,-5.3,,,-4.4,5,,,BC,1969-12-26 00:00:00,1969,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-7.2,22.5,27,0,12,T,0,1096450.1969.12.27,,1096450,0,PRINCE GEORGE A,,,72,-4.5,,,-1.7,5,,T,BC,1969-12-27 00:00:00,1969,95,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-3.3,20,28,1.5,12,,61,1096450.1969.12.28,,1096450,1.8,PRINCE GEORGE A,,,70,-2,,,-0.6,5,,,BC,1969-12-28 00:00:00,1969,97,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-8.3,22.5,29,0,12,,53,1096450.1969.12.29,,1096450,0,PRINCE GEORGE A,,,75,-4.5,,,-0.6,5,,,BC,1969-12-29 00:00:00,1969,94,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-10.6,23.6,30,0.5,12,,64,1096450.1969.12.30,,1096450,0.5,PRINCE GEORGE A,,,77,-5.6,,,-0.6,5,,,BC,1969-12-30 00:00:00,1969,94,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-11.7,25.5,31,0,12,,0,1096450.1969.12.31,,1096450,0,PRINCE GEORGE A,,,77,-7.5,,,-3.3,5,,,BC,1969-12-31 00:00:00,1969,93,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-8.3,22.2,1,0.5,1,,0,1096450.1970.1.1,,1096450,0.5,PRINCE GEORGE A,,,72,-4.2,,,0,5,,,BC,1970-01-01 00:00:00,1970,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-12.8,28,2,1.3,1,,0,1096450.1970.1.2,,1096450,1.5,PRINCE GEORGE A,,,85,-10,,,-7.2,5,,,BC,1970-01-02 00:00:00,1970,92,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-11.7,26.4,3,0,1,T,0,1096450.1970.1.3,,1096450,0,PRINCE GEORGE A,,,78,-8.4,,,-5,5,,T,BC,1970-01-03 00:00:00,1970,91,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-12.8,29.1,4,0,1,T,31,1096450.1970.1.4,,1096450,0.3,PRINCE GEORGE A,,,66,-11.1,,,-9.4,5,,,BC,1970-01-04 00:00:00,1970,86,,,0,0,,,36
-122.67888888888889,53.89083333333333,,-14.4,30.8,5,0,1,T,0,1096450.1970.1.5,,1096450,0,PRINCE GEORGE A,,,60,-12.8,,,-11.1,8,,T,BC,1970-01-05 00:00:00,1970,81,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-16.7,30.3,6,0,1,T,0,1096450.1970.1.6,,1096450,0,PRINCE GEORGE A,,,53,-12.3,,,-7.8,8,,T,BC,1970-01-06 00:00:00,1970,80,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-15.6,27.8,7,0,1,T,0,1096450.1970.1.7,,1096450,0,PRINCE GEORGE A,,,64,-9.8,,,-3.9,8,,T,BC,1970-01-07 00:00:00,1970,82,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-8.9,24.7,8,2.8,1,,0,1096450.1970.1.8,,1096450,2.5,PRINCE GEORGE A,,,68,-6.7,,,-4.4,8,,,BC,1970-01-08 00:00:00,1970,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-14.4,28,9,16.3,1,,0,1096450.1970.1.9,,1096450,15.2,PRINCE GEORGE A,,,80,-10,,,-5.6,18,,,BC,1970-01-09 00:00:00,1970,95,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-23.9,36.6,10,1.8,1,,0,1096450.1970.1.10,,1096450,2.5,PRINCE GEORGE A,,,71,-18.6,,,-13.3,28,,,BC,1970-01-10 00:00:00,1970,83,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-30,41.6,11,1,1,,0,1096450.1970.1.11,,1096450,1,PRINCE GEORGE A,,,68,-23.6,,,-17.2,28,,,BC,1970-01-11 00:00:00,1970,87,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-25,41.4,12,6.9,1,,0,1096450.1970.1.12,,1096450,6.4,PRINCE GEORGE A,,,63,-23.4,,,-21.7,28,,,BC,1970-01-12 00:00:00,1970,80,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-26.1,42.2,13,2.8,1,,0,1096450.1970.1.13,,1096450,3.3,PRINCE GEORGE A,,,64,-24.2,,,-22.2,30,,,BC,1970-01-13 00:00:00,1970,75,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-26.1,42.5,14,2.8,1,,0,1096450.1970.1.14,,1096450,3.8,PRINCE GEORGE A,,,61,-24.5,,,-22.8,33,,,BC,1970-01-14 00:00:00,1970,75,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-37.2,49.1,15,0.5,1,,0,1096450.1970.1.15,,1096450,0.5,PRINCE GEORGE A,,,59,-31.1,,,-25,30,,,BC,1970-01-15 00:00:00,1970,93,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-41.1,52.5,16,0,1,T,0,1096450.1970.1.16,,1096450,0,PRINCE GEORGE A,M,,,-34.5,,,-27.8,30,,T,BC,1970-01-16 00:00:00,1970,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-40.6,51.9,17,0,1,T,0,1096450.1970.1.17,,1096450,0,PRINCE GEORGE A,M,,,-33.9,,,-27.2,30,,T,BC,1970-01-17 00:00:00,1970,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-37.8,47.8,18,0.3,1,,0,1096450.1970.1.18,,1096450,0.3,PRINCE GEORGE A,M,,,-29.8,,,-21.7,30,,,BC,1970-01-18 00:00:00,1970,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-21.7,34.7,19,3.8,1,,0,1096450.1970.1.19,,1096450,5.3,PRINCE GEORGE A,,,65,-16.7,,,-11.7,28,,,BC,1970-01-19 00:00:00,1970,88,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-12.2,26.9,20,0,1,T,0,1096450.1970.1.20,,1096450,0,PRINCE GEORGE A,,,78,-8.9,,,-5.6,33,,T,BC,1970-01-20 00:00:00,1970,97,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-13.3,25.5,21,6.4,1,,0,1096450.1970.1.21,,1096450,7.4,PRINCE GEORGE A,,,88,-7.5,,,-1.7,30,,,BC,1970-01-21 00:00:00,1970,97,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5,20.5,22,0,1,,0,1096450.1970.1.22,,1096450,0,PRINCE GEORGE A,,,89,-2.5,,,0,38,,,BC,1970-01-22 00:00:00,1970,100,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5.6,18.3,23,0,1,,0,1096450.1970.1.23,,1096450,0,PRINCE GEORGE A,,,74,-0.3,,,5,38,,,BC,1970-01-23 00:00:00,1970,100,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-7.8,22.8,24,0,1,,0,1096450.1970.1.24,,1096450,0,PRINCE GEORGE A,,,92,-4.8,,,-1.7,33,,,BC,1970-01-24 00:00:00,1970,99,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-5.6,21.9,25,0.5,1,,0,1096450.1970.1.25,,1096450,0.5,PRINCE GEORGE A,,,95,-3.9,,,-2.2,30,,,BC,1970-01-25 00:00:00,1970,99,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-12.2,23.8,26,0,1,T,0,1096450.1970.1.26,,1096450,0,PRINCE GEORGE A,,,72,-5.8,,,0.6,30,,T,BC,1970-01-26 00:00:00,1970,99,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-8.9,25.3,27,0,1,T,0,1096450.1970.1.27,,1096450,0,PRINCE GEORGE A,,,85,-7.3,,,-5.6,30,,,BC,1970-01-27 00:00:00,1970,99,,,0,0,T,,0
-122.67888888888889,53.89083333333333,,-11.7,25.3,28,1.3,1,,37,1096450.1970.1.28,,1096450,1.5,PRINCE GEORGE A,,,77,-7.3,,,-2.8,30,,,BC,1970-01-28 00:00:00,1970,94,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-5,20.8,29,0,1,T,55,1096450.1970.1.29,,1096450,0,PRINCE GEORGE A,,,75,-2.8,,,-0.6,30,,T,BC,1970-01-29 00:00:00,1970,86,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-2.8,19.7,30,2.3,1,,60,1096450.1970.1.30,,1096450,4.1,PRINCE GEORGE A,,,69,-1.7,,,-0.6,30,,,BC,1970-01-30 00:00:00,1970,95,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-1.7,18,31,4.8,1,,55,1096450.1970.1.31,,1096450,6.1,PRINCE GEORGE A,,,78,0,,,1.7,33,,,BC,1970-01-31 00:00:00,1970,99,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-8.9,21.9,1,0,2,,0,1096450.1970.2.1,,1096450,0,PRINCE GEORGE A,,,69,-3.9,,,1.1,36,,,BC,1970-02-01 00:00:00,1970,94,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-6.7,19.7,2,8.4,2,,72,1096450.1970.2.2,,1096450,9.1,PRINCE GEORGE A,,,75,-1.7,,,3.3,36,,,BC,1970-02-02 00:00:00,1970,98,,,0.3,0,,,18
-122.67888888888889,53.89083333333333,,-4.4,18.8,3,2.3,2,,43,1096450.1970.2.3,,1096450,2.3,PRINCE GEORGE A,,,73,-0.8,,,2.8,38,,,BC,1970-02-03 00:00:00,1970,100,,,0,0,,,23
-122.67888888888889,53.89083333333333,,-3.3,20,4,0.3,2,,42,1096450.1970.2.4,,1096450,0.3,PRINCE GEORGE A,,,74,-2,,,-0.6,38,,,BC,1970-02-04 00:00:00,1970,93,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-3.3,19.7,5,1,2,,35,1096450.1970.2.5,,1096450,1.3,PRINCE GEORGE A,,,74,-1.7,,,0,38,,,BC,1970-02-05 00:00:00,1970,96,,,0,0,,,18
-122.67888888888889,53.89083333333333,,-8.3,20.5,6,0.5,2,,0,1096450.1970.2.6,,1096450,0.5,PRINCE GEORGE A,,,65,-2.5,,,3.3,41,,,BC,1970-02-06 00:00:00,1970,96,,,0,0,,,0
-122.67888888888889,53.89083333333333,,-8.3,21.3,7,1.5,2,,0,1096450.1970.2.7,,1096450,1.8,PRINCE GEORGE A,,,89,-3.3,,,1.7,38,,,BC,1970-02-07 00:00:00,1970,97,,,0,0,T,,0
