x,y,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,SNOW_ON_GROUND,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,LOCAL_DATE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,ID,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,LOCAL_MONTH
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,25.5,0,0.9,,8,24,,25,12.3,,72,,1163780,0,,,BC,1978-06-08 00:00:00,,0,1978,1163780.1978.6.8,,18.9,44,,0,,0,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,19.5,0,0,,9,24,,37,12.6,,77,,1163780,1.8,,,BC,1978-06-09 00:00:00,,1.8,1978,1163780.1978.6.9,,16.1,54,,0,,1.9,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,20.8,0,0,,10,15,,32,10.3,,88,,1163780,2.1,,,BC,1978-06-10 00:00:00,,2.1,1978,1163780.1978.6.10,,15.6,33,,0,,2.4,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,23.8,0,0,,11,15,,25,7.4,,87,,1163780,0,,,BC,1978-06-11 00:00:00,T,0,1978,1163780.1978.6.11,,15.6,39,,0,,2.4,T,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,23,0,0,,12,18,,29,11.3,,94,,1163780,5.2,,,BC,1978-06-12 00:00:00,,5.2,1978,1163780.1978.6.12,,17.2,67,,0,,0.8,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,22.8,0,0,,13,22,,25,11.4,,82,,1163780,0.2,,,BC,1978-06-13 00:00:00,,0.2,1978,1163780.1978.6.13,,17.1,46,,0,,0.9,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,22.1,0,0,,14,20,,25,4.8,,87,,1163780,0,,,BC,1978-06-14 00:00:00,,0,1978,1163780.1978.6.14,,13.5,48,,0,,4.5,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,18.9,0,0,,15,30,,55,11,,88,,1163780,5.6,,,BC,1978-06-15 00:00:00,,5.6,1978,1163780.1978.6.15,,15,35,,0,,3,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,19,0,0,,16,13,,52,10.3,,82,,1163780,0,,,BC,1978-06-16 00:00:00,,0,1978,1163780.1978.6.16,,14.7,37,,0,,3.3,,6
-120.44194444444445,50.702222222222225,,,KAMLOOPS A,30.1,0,0.9,,17,23,,19,7.7,,93,,1163780,0,,,BC,1978-06-17 00:00:00,,0,1978,1163780.1978.6.17,,18.9,61,,0,,0,,6
