Element,Item,Year,Unit,Value,Flag,Flag Description
Production,Apples,1996,t,512984,A,Official figure
Area harvested,Apples,1997,ha,27832,A,Official figure
Yield,Apples,1997,100 g/ha,180932,A,Official figure
Production,Apples,1997,t,503570,A,Official figure
Area harvested,Apples,1998,ha,26934,A,Official figure
Yield,Apples,1998,100 g/ha,193204,A,Official figure
Production,Apples,1998,t,520375,A,Official figure
Area harvested,Apples,1999,ha,26165,A,Official figure
Yield,Apples,1999,100 g/ha,237490,A,Official figure
Production,Apples,1999,t,621392,A,Official figure
Area harvested,Apples,2000,ha,24277,A,Official figure
Yield,Apples,2000,100 g/ha,218419,A,Official figure
Production,Apples,2000,t,530256,A,Official figure
Area harvested,Apples,2001,ha,22531,A,Official figure
Yield,Apples,2001,100 g/ha,216806,A,Official figure
Production,Apples,2001,t,488485,A,Official figure
Area harvested,Apples,2002,ha,20139,A,Official figure
Yield,Apples,2002,100 g/ha,174927,A,Official figure
Production,Apples,2002,t,352285,A,Official figure
Area harvested,Apples,2003,ha,20710,A,Official figure
Yield,Apples,2003,100 g/ha,194310,A,Official figure
Production,Apples,2003,t,402416,A,Official figure
Area harvested,Apples,2004,ha,19965,A,Official figure
Yield,Apples,2004,100 g/ha,193487,A,Official figure
Production,Apples,2004,t,386297,A,Official figure
Area harvested,Apples,2005,ha,19614,A,Official figure
Yield,Apples,2005,100 g/ha,211301,A,Official figure
Production,Apples,2005,t,414445,A,Official figure
Area harvested,Apples,2006,ha,19861,A,Official figure
Yield,Apples,2006,100 g/ha,202796,A,Official figure
Production,Apples,2006,t,402773,A,Official figure
Area harvested,Apples,2007,ha,18312,A,Official figure
Yield,Apples,2007,100 g/ha,243757,A,Official figure
Production,Apples,2007,t,446367,A,Official figure
Area harvested,Apples,2008,ha,17808,A,Official figure
Yield,Apples,2008,100 g/ha,239700,A,Official figure
Production,Apples,2008,t,426858,A,Official figure
Area harvested,Apples,2009,ha,17147,A,Official figure
Yield,Apples,2009,100 g/ha,253975,A,Official figure
Production,Apples,2009,t,435491,A,Official figure
Area harvested,Apples,2010,ha,16245,A,Official figure
Yield,Apples,2010,100 g/ha,228393,A,Official figure
Production,Apples,2010,t,371025,A,Official figure
Area harvested,Apples,2011,ha,16534,A,Official figure
Yield,Apples,2011,100 g/ha,254084,A,Official figure
Production,Apples,2011,t,420102,A,Official figure
Area harvested,Apples,2012,ha,15958,A,Official figure
Yield,Apples,2012,100 g/ha,177194,A,Official figure
Production,Apples,2012,t,282766,A,Official figure
Area harvested,Apples,2013,ha,16038,A,Official figure
Yield,Apples,2013,100 g/ha,266368,A,Official figure
Production,Apples,2013,t,427201,A,Official figure
Area harvested,Apples,2014,ha,15874,A,Official figure
Yield,Apples,2014,100 g/ha,258183,A,Official figure
Production,Apples,2014,t,409839,A,Official figure
Area harvested,Apples,2015,ha,15737,A,Official figure
Yield,Apples,2015,100 g/ha,221458,A,Official figure
Production,Apples,2015,t,348508,A,Official figure
Area harvested,Apples,2016,ha,15873,A,Official figure
Yield,Apples,2016,100 g/ha,263333,A,Official figure
Production,Apples,2016,t,417989,A,Official figure
Area harvested,Apples,2017,ha,15612,A,Official figure
Yield,Apples,2017,100 g/ha,257547,A,Official figure
Production,Apples,2017,t,402082,A,Official figure
Area harvested,Apples,2018,ha,15740,A,Official figure
Yield,Apples,2018,100 g/ha,256022,A,Official figure
Production,Apples,2018,t,402978,A,Official figure
Area harvested,Apples,2019,ha,15329,A,Official figure
Yield,Apples,2019,100 g/ha,249704,A,Official figure
Production,Apples,2019,t,382771,A,Official figure
Area harvested,Apples,2020,ha,15289,A,Official figure
Yield,Apples,2020,100 g/ha,255739,A,Official figure
Production,Apples,2020,t,390999,A,Official figure
Area harvested,Apples,2021,ha,15493,A,Official figure
Yield,Apples,2021,100 g/ha,226919,A,Official figure
Production,Apples,2021,t,351565,A,Official figure
Area harvested,Apples,2022,ha,15376,A,Official figure
Yield,Apples,2022,100 g/ha,247510,A,Official figure
Production,Apples,2022,t,380571,A,Official figure
Area harvested,Barley,1961,ha,2237476,A,Official figure
Yield,Barley,1961,100 g/ha,10961,A,Official figure
Production,Barley,1961,t,2452398,A,Official figure
Area harvested,Barley,1962,ha,2139462,A,Official figure
Yield,Barley,1962,100 g/ha,16880,A,Official figure
Production,Barley,1962,t,3611322,A,Official figure
Area harvested,Barley,1963,ha,2499800,A,Official figure
Yield,Barley,1963,100 g/ha,19268,A,Official figure
Production,Barley,1963,t,4816728,A,Official figure
Area harvested,Barley,1964,ha,2223514,A,Official figure
Yield,Barley,1964,100 g/ha,16495,A,Official figure
Production,Barley,1964,t,3667776,A,Official figure
Area harvested,Barley,1965,ha,2477127,A,Official figure
Yield,Barley,1965,100 g/ha,19187,A,Official figure
Production,Barley,1965,t,4752828,A,Official figure
Area harvested,Barley,1966,ha,3019439,A,Official figure
Yield,Barley,1966,100 g/ha,21721,A,Official figure
Production,Barley,1966,t,6558488,A,Official figure
Area harvested,Barley,1967,ha,3286528,A,Official figure
Yield,Barley,1967,100 g/ha,16751,A,Official figure
Production,Barley,1967,t,5505420,A,Official figure
Area harvested,Barley,1968,ha,3583199,A,Official figure
Yield,Barley,1968,100 g/ha,19811,A,Official figure
Production,Barley,1968,t,7098652,A,Official figure
Area harvested,Barley,1969,ha,3787117,A,Official figure
Yield,Barley,1969,100 g/ha,21345,A,Official figure
Production,Barley,1969,t,8083682,A,Official figure
Area harvested,Barley,1970,ha,4003863,A,Official figure
Yield,Barley,1970,100 g/ha,22202,A,Official figure
Production,Barley,1970,t,8889225,A,Official figure
Area harvested,Barley,1971,ha,5657629,A,Official figure
Yield,Barley,1971,100 g/ha,23152,A,Official figure
Production,Barley,1971,t,13098645,A,Official figure
Area harvested,Barley,1972,ha,5062102,A,Official figure
Yield,Barley,1972,100 g/ha,22293,A,Official figure
Production,Barley,1972,t,11284776,A,Official figure
Area harvested,Barley,1973,ha,4839244,A,Official figure
Yield,Barley,1973,100 g/ha,21126,A,Official figure
Production,Barley,1973,t,10223478,A,Official figure
Area harvested,Barley,1974,ha,4775020,A,Official figure
Yield,Barley,1974,100 g/ha,18409,A,Official figure
Production,Barley,1974,t,8790300,A,Official figure
Area harvested,Barley,1975,ha,4462500,A,Official figure
Yield,Barley,1975,100 g/ha,21311,A,Official figure
Production,Barley,1975,t,9510000,A,Official figure
Area harvested,Barley,1976,ha,4353386,A,Official figure
Yield,Barley,1976,100 g/ha,24149,A,Official figure
Production,Barley,1976,t,10512959,A,Official figure
Area harvested,Barley,1977,ha,4751800,A,Official figure
Yield,Barley,1977,100 g/ha,24836,A,Official figure
Production,Barley,1977,t,11801500,A,Official figure
Area harvested,Barley,1978,ha,4265700,A,Official figure
Yield,Barley,1978,100 g/ha,24376,A,Official figure
Production,Barley,1978,t,10398000,A,Official figure
Area harvested,Barley,1979,ha,3729500,A,Official figure
Yield,Barley,1979,100 g/ha,22733,A,Official figure
Production,Barley,1979,t,8478200,A,Official figure
Area harvested,Barley,1980,ha,4687200,A,Official figure
Yield,Barley,1980,100 g/ha,24309,A,Official figure
Production,Barley,1980,t,11394300,A,Official figure
Area harvested,Barley,1981,ha,5475800,A,Official figure
Yield,Barley,1981,100 g/ha,25063,A,Official figure
Production,Barley,1981,t,13724000,A,Official figure
Area harvested,Barley,1982,ha,5148800,A,Official figure
Yield,Barley,1982,100 g/ha,27124,A,Official figure
Production,Barley,1982,t,13965600,A,Official figure
Area harvested,Barley,1983,ha,4332800,A,Official figure
Yield,Barley,1983,100 g/ha,23562,A,Official figure
Production,Barley,1983,t,10209000,A,Official figure
Area harvested,Barley,1984,ha,4557000,A,Official figure
Yield,Barley,1984,100 g/ha,22594,A,Official figure
Production,Barley,1984,t,10296000,A,Official figure
Area harvested,Barley,1985,ha,4750300,A,Official figure
Yield,Barley,1985,100 g/ha,26076,A,Official figure
Production,Barley,1985,t,12387000,A,Official figure
Area harvested,Barley,1986,ha,4828700,A,Official figure
Yield,Barley,1986,100 g/ha,30170,A,Official figure
Production,Barley,1986,t,14568000,A,Official figure
Area harvested,Barley,1987,ha,5004200,A,Official figure
Yield,Barley,1987,100 g/ha,27891,A,Official figure
Production,Barley,1987,t,13957000,A,Official figure
Area harvested,Barley,1988,ha,4152400,A,Official figure
Yield,Barley,1988,100 g/ha,24603,A,Official figure
Production,Barley,1988,t,10216000,A,Official figure
Area harvested,Barley,1989,ha,4727000,A,Official figure
Yield,Barley,1989,100 g/ha,24929,A,Official figure
Production,Barley,1989,t,11784000,A,Official figure
Area harvested,Barley,1990,ha,4528700,A,Official figure
Yield,Barley,1990,100 g/ha,29680,A,Official figure
Production,Barley,1990,t,13441400,A,Official figure
Area harvested,Barley,1991,ha,4216800,A,Official figure
Yield,Barley,1991,100 g/ha,27549,A,Official figure
Production,Barley,1991,t,11617000,A,Official figure
Area harvested,Barley,1992,ha,3792200,A,Official figure
Yield,Barley,1992,100 g/ha,29090,A,Official figure
Production,Barley,1992,t,11031500,A,Official figure
Area harvested,Barley,1993,ha,4159000,A,Official figure
Yield,Barley,1993,100 g/ha,31190,A,Official figure
Production,Barley,1993,t,12972100,A,Official figure
Area harvested,Barley,1994,ha,4093000,A,Official figure
Yield,Barley,1994,100 g/ha,28566,A,Official figure
Production,Barley,1994,t,11692000,A,Official figure
Area harvested,Barley,1995,ha,4363300,A,Official figure
Yield,Barley,1995,100 g/ha,29868,A,Official figure
Production,Barley,1995,t,13032500,A,Official figure
Area harvested,Barley,1996,ha,4887800,A,Official figure
Yield,Barley,1996,100 g/ha,31838,A,Official figure
Production,Barley,1996,t,15562000,A,Official figure
Area harvested,Barley,1997,ha,4702000,A,Official figure
Yield,Barley,1997,100 g/ha,28783,A,Official figure
Production,Barley,1997,t,13533900,A,Official figure
Area harvested,Barley,1998,ha,4272100,A,Official figure
Yield,Barley,1998,100 g/ha,29748,A,Official figure
Production,Barley,1998,t,12708700,A,Official figure
Area harvested,Barley,1999,ha,4069300,A,Official figure
Yield,Barley,1999,100 g/ha,32428,A,Official figure
Production,Barley,1999,t,13196000,A,Official figure
Area harvested,Barley,2000,ha,4468100,A,Official figure
Yield,Barley,2000,100 g/ha,29607,A,Official figure
Production,Barley,2000,t,13228600,A,Official figure
Area harvested,Barley,2001,ha,4149500,A,Official figure
Yield,Barley,2001,100 g/ha,26137,A,Official figure
Production,Barley,2001,t,10845600,A,Official figure
Area harvested,Barley,2002,ha,3341800,A,Official figure
Yield,Barley,2002,100 g/ha,22346,A,Official figure
Production,Barley,2002,t,7467700,A,Official figure
Area harvested,Barley,2003,ha,4397100,A,Official figure
Yield,Barley,2003,100 g/ha,27664,A,Official figure
Production,Barley,2003,t,12164200,A,Official figure
Area harvested,Barley,2004,ha,3840700,A,Official figure
Yield,Barley,2004,100 g/ha,32694,A,Official figure
Production,Barley,2004,t,12556700,A,Official figure
Area harvested,Barley,2005,ha,3634000,A,Official figure
Yield,Barley,2005,100 g/ha,32134,A,Official figure
Production,Barley,2005,t,11677600,A,Official figure
Area harvested,Barley,2006,ha,3222900,A,Official figure
