x,y,HEATING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE,HEATING_DEGREE_DAYS,LOCAL_DAY,TOTAL_PRECIPITATION,LOCAL_MONTH,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST,ID,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,STATION_NAME,MIN_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,LOCAL_DATE,LOCAL_YEAR,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST
-122.67888888888889,53.89083333333333,,-3.7,15,10,0,4,,0,1096450.1997.4.10,,1096450,0,PRINCE GEORGE A,M,,,3,,,9.6,0,,,BC,1997-04-10 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-6.7,14.6,11,0,4,,0,1096450.1997.4.11,,1096450,0,PRINCE GEORGE A,M,,,3.4,,,13.5,0,,,BC,1997-04-11 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-3,12.9,12,0,4,,0,1096450.1997.4.12,,1096450,0,PRINCE GEORGE A,M,,,5.1,,,13.2,0,,,BC,1997-04-12 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,0.9,13.8,13,3.6,4,,35,1096450.1997.4.13,,1096450,0,PRINCE GEORGE A,M,,,4.2,E,,7.5,0,,T,BC,1997-04-13 00:00:00,1997,,,M,3.6,0,,E,26
-122.67888888888889,53.89083333333333,,-2.4,13.3,14,0,4,,0,1096450.1997.4.14,,1096450,0,PRINCE GEORGE A,M,,,4.7,,,11.7,0,,,BC,1997-04-14 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,2.3,10.6,15,0.4,4,,46,1096450.1997.4.15,,1096450,0,PRINCE GEORGE A,M,,,7.4,,,12.4,0,,,BC,1997-04-15 00:00:00,1997,,,M,0.4,0,,,19
-122.67888888888889,53.89083333333333,,2.6,11.9,16,6.2,4,,37,1096450.1997.4.16,,1096450,0,PRINCE GEORGE A,M,,,6.1,,,9.5,0,,,BC,1997-04-16 00:00:00,1997,,,M,6.2,0,,,18
-122.67888888888889,53.89083333333333,,1.2,12.5,17,0.6,4,,0,1096450.1997.4.17,,1096450,0,PRINCE GEORGE A,M,,,5.5,,,9.7,0,,T,BC,1997-04-17 00:00:00,1997,,,M,0.6,0,,,0
-122.67888888888889,53.89083333333333,,-2.5,14.3,18,0,4,,0,1096450.1997.4.18,,1096450,0,PRINCE GEORGE A,M,,,3.7,,,9.8,0,,,BC,1997-04-18 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-2.9,12.1,19,2.4,4,,44,1096450.1997.4.19,,1096450,0,PRINCE GEORGE A,M,,,5.9,,,14.6,0,,,BC,1997-04-19 00:00:00,1997,,,M,2.4,0,,,20
-122.67888888888889,53.89083333333333,,1.9,13.4,20,20.8,4,,0,1096450.1997.4.20,,1096450,0,PRINCE GEORGE A,M,,,4.6,,,7.3,0,,T,BC,1997-04-20 00:00:00,1997,,,M,20.8,0,,,0
-122.67888888888889,53.89083333333333,,0.1,11.7,21,0,4,,0,1096450.1997.4.21,,1096450,0,PRINCE GEORGE A,M,,,6.3,,,12.5,0,,,BC,1997-04-21 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-3.6,12.6,22,0,4,,37,1096450.1997.4.22,,1096450,0,PRINCE GEORGE A,M,,,5.4,E,,14.3,0,,,BC,1997-04-22 00:00:00,1997,,,M,0,0,,E,7
-122.67888888888889,53.89083333333333,,2.3,9.3,23,0,4,,32,1096450.1997.4.23,,1096450,0,PRINCE GEORGE A,M,,,8.7,E,,15,0,,,BC,1997-04-23 00:00:00,1997,,,M,0,0,,E,5
-122.67888888888889,53.89083333333333,,0.9,10,24,0,4,,0,1096450.1997.4.24,,1096450,0,PRINCE GEORGE A,M,,,8,,,15.1,0,,,BC,1997-04-24 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,-0.7,9.7,25,0,4,,0,1096450.1997.4.25,,1096450,0,PRINCE GEORGE A,M,,,8.3,,,17.3,0,,,BC,1997-04-25 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,6.2,4.9,26,9,4,,57,1096450.1997.4.26,,1096450,0,PRINCE GEORGE A,M,,,13.1,E,,20,0,,,BC,1997-04-26 00:00:00,1997,,,M,9,0,,E,17
-122.67888888888889,53.89083333333333,,1.5,11.7,27,0,4,T,0,1096450.1997.4.27,,1096450,0,PRINCE GEORGE A,M,,,6.3,,,11.1,0,,T,BC,1997-04-27 00:00:00,1997,,,M,0,0,,,0
-122.67888888888889,53.89083333333333,,0.6,11.8,28,0,4,T,0,1096450.1997.4.28,,1096450,0,PRINCE GEORGE A,M,,,6.2,,,11.7,0,,,BC,1997-04-28 00:00:00,1997,,,M,0,0,T,,0
-122.67888888888889,53.89083333333333,,1.5,11.1,29,2.2,4,,0,1096450.1997.4.29,,1096450,0,PRINCE GEORGE A,M,,,6.9,,,12.2,0,,,BC,1997-04-29 00:00:00,1997,,,M,2.2,0,,,0
