x,y,SNOW_ON_GROUND,ID,SPEED_MAX_GUST_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS,MAX_TEMPERATURE,SNOW_ON_GROUND_FLAG,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,SPEED_MAX_GUST,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,MAX_REL_HUMIDITY,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,MEAN_TEMPERATURE,TOTAL_SNOW,LOCAL_DATE,LOCAL_MONTH,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,STATION_NAME,HEATING_DEGREE_DAYS_FLAG
-122.67888888888889,53.89083333333333,0,1096450.1997.4.10,,,15,9.6,,,M,,,10,0,0,,0,1096450,-3.7,,BC,,0,1997,3,0,1997-04-10 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.11,,,14.6,13.5,,,M,,,11,0,0,,0,1096450,-6.7,,BC,,0,1997,3.4,0,1997-04-11 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.12,,,12.9,13.2,,,M,,,12,0,0,,0,1096450,-3,,BC,,0,1997,5.1,0,1997-04-12 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.13,E,,13.8,7.5,,,M,,E,13,35,3.6,,26,1096450,0.9,,BC,,3.6,1997,4.2,0,1997-04-13 00:00:00,4,0,M,T,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.14,,,13.3,11.7,,,M,,,14,0,0,,0,1096450,-2.4,,BC,,0,1997,4.7,0,1997-04-14 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.15,,,10.6,12.4,,,M,,,15,46,0.4,,19,1096450,2.3,,BC,,0.4,1997,7.4,0,1997-04-15 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.16,,,11.9,9.5,,,M,,,16,37,6.2,,18,1096450,2.6,,BC,,6.2,1997,6.1,0,1997-04-16 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.17,,,12.5,9.7,,,M,,,17,0,0.6,,0,1096450,1.2,,BC,,0.6,1997,5.5,0,1997-04-17 00:00:00,4,0,M,T,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.18,,,14.3,9.8,,,M,,,18,0,0,,0,1096450,-2.5,,BC,,0,1997,3.7,0,1997-04-18 00:00:00,4,0,M,,,,PRINCE GEORGE A,
-122.67888888888889,53.89083333333333,0,1096450.1997.4.19,,,12.1,14.6,,,M,,,19,44,2.4,,20,1096450,-2.9,,BC,,2.4,1997,5.9,0,1997-04-19 00:00:00,4,0,M,,,,PRINCE GEORGE A,
