x,y,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY,MAX_TEMPERATURE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY_FLAG,LOCAL_MONTH,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS,DIRECTION_MAX_GUST,MIN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,ID,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_YEAR,STATION_NAME,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,LOCAL_DATE,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,SNOW_ON_GROUND
-122.8,53.833333333333336,1096436,,16.7,,0,,,,5,11.2,6.8,,5.6,,14,1096436.1940.5.14,,,14.7,1940,PRINCE GEORGE,,,14.7,1940-05-14 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,14.4,,0,,,,5,10.6,7.4,,6.7,,15,1096436.1940.5.15,,,5.1,1940,PRINCE GEORGE,,,5.1,1940-05-15 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,15,,0,,,,5,9.5,8.5,,3.9,,16,1096436.1940.5.16,,,0,1940,PRINCE GEORGE,,,0,1940-05-16 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,21.7,,0,,,,5,12.3,5.7,,2.8,,17,1096436.1940.5.17,,,0,1940,PRINCE GEORGE,,,0,1940-05-17 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,12.8,,0,,,,5,9.5,8.5,,6.1,,18,1096436.1940.5.18,,,10.9,1940,PRINCE GEORGE,,,10.9,1940-05-18 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,18.9,,0,,,,5,10.6,7.4,,2.2,,19,1096436.1940.5.19,,,0,1940,PRINCE GEORGE,,,0,1940-05-19 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,5,10.6,7.4,,-1.1,,20,1096436.1940.5.20,,,0,1940,PRINCE GEORGE,,,0,1940-05-20 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,26.7,,0,,,,5,13.7,4.3,,0.6,,21,1096436.1940.5.21,,,0,1940,PRINCE GEORGE,,,0,1940-05-21 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,27.8,,0,,,,5,17,1,,6.1,,22,1096436.1940.5.22,,,0,1940,PRINCE GEORGE,,,0,1940-05-22 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,26.1,,0,,,,5,15.3,2.7,,4.4,,23,1096436.1940.5.23,,,0,1940,PRINCE GEORGE,,,0,1940-05-23 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,18.3,,0,,,,5,13.6,4.4,,8.9,,24,1096436.1940.5.24,,,0.8,1940,PRINCE GEORGE,,,0.8,1940-05-24 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,13.9,,0,,,,5,10.6,7.4,,7.2,,25,1096436.1940.5.25,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-05-25 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,13.3,,0,,,,5,8.9,9.1,,4.4,,26,1096436.1940.5.26,,,0.5,1940,PRINCE GEORGE,,,0.5,1940-05-26 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,15.6,,0,,,,5,8.9,9.1,,2.2,,27,1096436.1940.5.27,,,0,1940,PRINCE GEORGE,,,0,1940-05-27 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,20.6,,0,,,,5,8.9,9.1,,-2.8,,28,1096436.1940.5.28,,,0,1940,PRINCE GEORGE,,,0,1940-05-28 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,22.2,,0,,,,5,10,8,,-2.2,,29,1096436.1940.5.29,,,0,1940,PRINCE GEORGE,,,0,1940-05-29 0:00,BC,,,,,,,0,
-122.8,53.833333333333336,1096436,,23.9,,0,,,,5,12.5,5.5,,1.1,,30,1096436.1940.5.30,,,0,1940,PRINCE GEORGE,,,0,1940-05-30 0:00,BC,,,,,,,0,
