"ibegin","iend","length","begin","end","avgmin","avgmax","year","month"
3813,3834,22,1947-08-08,1947-08-29,11.38,21.46,1947,8
3852,3866,15,1947-09-16,1947-09-30,8.11,19.51,1947,9
3969,3978,10,1948-01-11,1948-01-20,-0.87,4.1,1948,1
4040,4050,11,1948-03-22,1948-04-01,2.9,10.83,1948,3
4109,4119,11,1948-05-30,1948-06-09,11.41,21.86,1948,5
4131,4142,12,1948-06-21,1948-07-02,11.76,20.83,1948,6
4148,4161,14,1948-07-08,1948-07-21,12.86,22.11,1948,7
4206,4215,10,1948-09-04,1948-09-13,10.44,19.82,1948,9
4243,4254,12,1948-10-11,1948-10-22,3.77,13.56,1948,10
4378,4394,17,1949-02-23,1949-03-11,0.79,9.68,1949,2
4446,4459,14,1949-05-02,1949-05-15,6.87,17.73,1949,5
4505,4522,18,1949-06-30,1949-07-17,10.89,22.16,1949,6
4557,4576,20,1949-08-21,1949-09-09,11.45,22.84,1949,8
4586,4599,14,1949-09-19,1949-10-02,8.09,17.83,1949,9
4612,4622,11,1949-10-15,1949-10-25,2.07,10.91,1949,10
4625,4634,10,1949-10-28,1949-11-06,3.34,14,1949,10
4814,4824,11,1950-05-05,1950-05-15,6.52,15.35,1950,5
4838,4852,15,1950-05-29,1950-06-12,8.52,19.44,1950,5
4864,4877,14,1950-06-24,1950-07-07,11.59,22.63,1950,6
4879,4896,18,1950-07-09,1950-07-26,12.58,23.12,1950,7
4925,4954,30,1950-08-24,1950-09-22,10.57,20.69,1950,8
5143,5170,28,1951-03-30,1951-04-26,2.98,14.31,1951,3
5218,5292,75,1951-06-13,1951-08-26,12.38,22.55,1951,6
5294,5303,10,1951-08-28,1951-09-06,10.28,21.39,1951,8
5305,5320,16,1951-09-08,1951-09-23,8.84,20.03,1951,9
5370,5382,13,1951-11-12,1951-11-24,-0.34,7.82,1951,11
5600,5622,23,1952-06-29,1952-07-21,12.67,22.27,1952,6
5625,5652,28,1952-07-24,1952-08-20,12.88,23.24,1952,7
5658,5667,10,1952-08-26,1952-09-04,9.94,20.88,1952,8
5675,5691,17,1952-09-12,1952-09-28,10.16,20.45,1952,9
5693,5712,20,1952-09-30,1952-10-19,6.83,16.65,1952,9
5742,5753,12,1952-11-18,1952-11-29,-1.56,6.01,1952,11
5843,5853,11,1953-02-27,1953-03-09,1.32,9.5,1953,2
5913,5922,10,1953-05-08,1953-05-17,8.84,17.4,1953,5
5927,5940,14,1953-05-22,1953-06-04,8.69,17.34,1953,5
5964,5973,10,1953-06-28,1953-07-07,11.99,22.34,1953,6
5981,6000,20,1953-07-15,1953-08-03,12.25,21.97,1953,7
6006,6016,11,1953-08-09,1953-08-19,13.37,22.87,1953,8
6024,6039,16,1953-08-27,1953-09-11,11.91,21.29,1953,8
6181,6191,11,1954-01-31,1954-02-10,0.11,7.44,1954,1
6225,6240,16,1954-03-16,1954-03-31,0.29,9.73,1954,3
6266,6280,15,1954-04-26,1954-05-10,5.47,14.79,1954,4
6283,6293,11,1954-05-13,1954-05-23,7.73,18.45,1954,5
6342,6376,35,1954-07-11,1954-08-14,11.65,20.66,1954,7
6417,6429,13,1954-09-24,1954-10-06,6.85,15.09,1954,9
6446,6457,12,1954-10-23,1954-11-03,2.15,10.92,1954,10
6561,6570,10,1955-02-15,1955-02-24,0.1,6.17,1955,2
6628,6641,14,1955-04-23,1955-05-06,4.04,12.94,1955,4
6665,6682,18,1955-05-30,1955-06-16,9.39,17.86,1955,5
6728,6745,18,1955-08-01,1955-08-18,11.39,21.46,1955,8
6747,6770,24,1955-08-20,1955-09-12,11.9,20.49,1955,8
6774,6783,10,1955-09-16,1955-09-25,6.15,16.34,1955,9
6801,6810,10,1955-10-13,1955-10-22,5.89,12.93,1955,10
6903,6914,12,1956-01-23,1956-02-03,-4.25,2.42,1956,1
6978,7004,27,1956-04-07,1956-05-03,5.76,14.9,1956,4
7011,7026,16,1956-05-10,1956-05-25,8.66,19.48,1956,5
7076,7093,18,1956-07-14,1956-07-31,13.71,23.93,1956,7
7096,7107,12,1956-08-03,1956-08-14,12.59,22.6,1956,8
7118,7132,15,1956-08-25,1956-09-08,11.27,20.85,1956,8
7134,7143,10,1956-09-10,1956-09-19,10.34,17.4,1956,9
7202,7216,15,1956-11-17,1956-12-01,-0.63,5.45,1956,11
7258,7275,18,1957-01-12,1957-01-29,-7.47,0.93,1957,1
7288,7298,11,1957-02-11,1957-02-21,-1.75,6.83,1957,2
7387,7403,17,1957-05-21,1957-06-06,10.91,20.52,1957,5
7443,7453,11,1957-07-16,1957-07-26,12.78,21.42,1957,7
7468,7480,13,1957-08-10,1957-08-22,12.6,22.23,1957,8
7482,7493,12,1957-08-24,1957-09-04,11.22,22,1957,8
7497,7515,19,1957-09-08,1957-09-26,10.54,20.43,1957,9
7521,7530,10,1957-10-02,1957-10-11,5.89,14.33,1957,10
7549,7559,11,1957-10-30,1957-11-09,1.88,10.61,1957,10
7724,7749,26,1958-04-23,1958-05-18,7.28,17.86,1958,4
7770,7784,15,1958-06-08,1958-06-22,14.19,23.04,1958,6
7791,7825,35,1958-06-29,1958-08-02,15.2,25.23,1958,6
7830,7850,21,1958-08-07,1958-08-27,13.96,24.2,1958,8
7879,7890,12,1958-09-25,1958-10-06,7.73,16.57,1958,9
7903,7914,12,1958-10-19,1958-10-30,2.88,13.8,1958,10
8068,8079,12,1959-04-02,1959-04-13,3.95,12.8,1959,4
8081,8090,10,1959-04-15,1959-04-24,5.22,14.11,1959,4
8142,8151,10,1959-06-15,1959-06-24,12.21,22.01,1959,6
8163,8190,28,1959-07-06,1959-08-02,13.64,23.13,1959,7
8245,8254,10,1959-09-26,1959-10-05,7.83,15.34,1959,9
8284,8293,10,1959-11-04,1959-11-13,1.04,7.82,1959,11
8335,8344,10,1959-12-25,1960-01-03,-1.93,4.4,1959,12
8393,8403,11,1960-02-21,1960-03-02,-1.82,5.75,1960,2
8456,8467,12,1960-04-24,1960-05-05,7.86,15.74,1960,4
8493,8506,14,1960-05-31,1960-06-13,11.15,19.26,1960,5
8518,8566,49,1960-06-25,1960-08-12,13.72,23.29,1960,6
8590,8602,13,1960-09-05,1960-09-17,10.35,19.05,1960,9
8610,8620,11,1960-09-25,1960-10-05,9.31,16.12,1960,9
8725,8735,11,1961-01-18,1961-01-28,-0.96,4.54,1961,1
8854,8863,10,1961-05-27,1961-06-05,11.71,20.99,1961,5
8869,8886,18,1961-06-11,1961-06-28,12.67,22.11,1961,6
8895,8933,39,1961-07-07,1961-08-14,14.69,24.35,1961,7
8936,8948,13,1961-08-17,1961-08-29,13.33,23.58,1961,8
8952,8973,22,1961-09-02,1961-09-23,10.06,19.11,1961,9
9118,9131,14,1962-02-15,1962-02-28,-1.14,6.26,1962,2
9155,9165,11,1962-03-24,1962-04-03,2.73,11.54,1962,3
9232,9248,17,1962-06-09,1962-06-25,10.65,21.18,1962,6
9271,9286,16,1962-07-18,1962-08-02,14.34,23.43,1962,7
9311,9324,14,1962-08-27,1962-09-09,10.91,21.28,1962,8
9329,9341,13,1962-09-14,1962-09-26,9.7,18.56,1962,9
9440,9451,12,1963-01-03,1963-01-14,-2.44,3.23,1963,1
9497,9509,13,1963-03-01,1963-03-13,-0.55,9.1,1963,3
9563,9591,29,1963-05-06,1963-06-03,7.87,19.06,1963,5
9597,9607,11,1963-06-09,1963-06-19,11.52,21.77,1963,6
9627,9637,11,1963-07-09,1963-07-19,12.48,21.21,1963,7
9641,9660,20,1963-07-23,1963-08-11,12.39,21.76,1963,7
9682,9692,11,1963-09-02,1963-09-12,13.34,22.77,1963,9
9974,9989,16,1964-06-20,1964-07-05,10.51,19.38,1964,6
10049,10060,12,1964-09-03,1964-09-14,8.16,18.7,1964,9
10119,10128,10,1964-11-12,1964-11-21,0.16,6.56,1964,11
10227,10247,21,1965-02-28,1965-03-20,-0.32,10,1965,2
10292,10302,11,1965-05-04,1965-05-14,4.79,15.36,1965,5
10319,10328,10,1965-05-31,1965-06-09,10.11,19.78,1965,5
10331,10367,37,1965-06-12,1965-07-18,10.59,21.03,1965,6
10370,10382,13,1965-07-21,1965-08-02,13.8,25.13,1965,7
10406,10423,18,1965-08-26,1965-09-12,9.16,18.67,1965,8
10426,10436,11,1965-09-15,1965-09-25,7.17,17.07,1965,9
10612,10621,10,1966-03-20,1966-03-29,1.62,12.17,1966,3
10623,10632,10,1966-03-31,1966-04-09,3.39,14.17,1966,3
10648,10658,11,1966-04-25,1966-05-05,4.9,15.54,1966,4
10740,10756,17,1966-07-26,1966-08-11,12.35,23.11,1966,7
10759,10770,12,1966-08-14,1966-08-25,12.22,22.08,1966,8
10773,10785,13,1966-08-28,1966-09-09,10.55,20.81,1966,8
10814,10823,10,1966-10-08,1966-10-17,4.94,12.4,1966,10
11033,11045,13,1967-05-15,1967-05-27,8.72,18.34,1967,5
11049,11069,21,1967-05-31,1967-06-20,11.67,21.09,1967,5
11076,11085,10,1967-06-27,1967-07-06,13.28,22.35,1967,6
11087,11097,11,1967-07-08,1967-07-18,11.58,23.49,1967,7
11100,11115,16,1967-07-21,1967-08-05,12.22,23.16,1967,7
11117,11129,13,1967-08-07,1967-08-19,13.66,26.02,1967,8
11131,11141,11,1967-08-21,1967-08-31,13.17,24.75,1967,8
11152,11169,18,1967-09-11,1967-09-28,9.75,20.61,1967,9
11243,11252,10,1967-12-11,1967-12-20,-3.5,3.4,1967,12
11298,11310,13,1968-02-04,1968-02-16,-2.55,8.08,1968,2
11444,11455,12,1968-06-29,1968-07-10,13.76,24.07,1968,6
11465,11488,24,1968-07-20,1968-08-12,12.77,23.15,1968,7
11530,11540,11,1968-09-23,1968-10-03,6.83,15.99,1968,9
11677,11689,13,1969-02-17,1969-03-01,-0.72,7.35,1969,2
11751,11772,22,1969-05-02,1969-05-23,8.2,18.1,1969,5
11779,11802,24,1969-05-30,1969-06-22,13.12,22.32,1969,5
11821,11844,24,1969-07-11,1969-08-03,11.85,22.3,1969,7
11911,11920,10,1969-10-09,1969-10-18,2.95,13.38,1969,10
11990,12001,12,1969-12-27,1970-01-07,-0.42,4.41,1969,12
12043,12058,16,1970-02-18,1970-03-05,-0.57,9.31,1970,2
12077,12087,11,1970-03-24,1970-04-03,2.04,11.31,1970,3
12143,12153,11,1970-05-29,1970-06-08,10.26,21.92,1970,5
12157,12171,15,1970-06-12,1970-06-26,12.22,20.81,1970,6
12173,12199,27,1970-06-28,1970-07-24,12.53,21.86,1970,6
12205,12217,13,1970-07-30,1970-08-11,12.55,21.62,1970,7
12219,12232,14,1970-08-13,1970-08-26,11.7,20.96,1970,8
12260,12270,11,1970-09-23,1970-10-03,6.73,17.27,1970,9
12293,12302,10,1970-10-26,1970-11-04,-0.35,10.88,1970,10
12552,12584,33,1971-07-12,1971-08-13,13.93,24.49,1971,7
12614,12624,11,1971-09-12,1971-09-22,7.58,17.92,1971,9
12868,12885,18,1972-05-23,1972-06-09,9.62,19.64,1972,5
12904,12913,10,1972-06-28,1972-07-07,11.35,22,1972,6
12919,12952,34,1972-07-13,1972-08-15,13.03,22.54,1972,7
12959,12974,16,1972-08-22,1972-09-06,12.6,21.74,1972,8
12995,13007,13,1972-09-27,1972-10-09,5.68,13.81,1972,9
13124,13134,11,1973-02-03,1973-02-13,-0.9,6.31,1973,2
13181,13195,15,1973-04-01,1973-04-15,4.21,13.26,1973,4
13202,13212,11,1973-04-22,1973-05-02,4.4,14.15,1973,4
13219,13231,13,1973-05-09,1973-05-21,7.95,18.63,1973,5
13235,13246,12,1973-05-25,1973-06-05,7.44,16.94,1973,5
13278,13317,40,1973-07-07,1973-08-15,12.51,21.8,1973,7
13320,13329,10,1973-08-18,1973-08-27,9.55,19.4,1973,8
13340,13350,11,1973-09-07,1973-09-17,10.15,20.32,1973,9
13355,13369,15,1973-09-22,1973-10-06,8.25,15.96,1973,9
13453,13466,14,1973-12-29,1974-01-11,-5.4,2.69,1973,12
13610,13631,22,1974-06-04,1974-06-25,10.38,18.9,1974,6
13654,13678,25,1974-07-18,1974-08-11,13.3,21.96,1974,7
13680,13705,26,1974-08-13,1974-09-07,12.58,22.06,1974,8
13708,13728,21,1974-09-10,1974-09-30,9.48,20.7,1974,9
13901,13927,27,1975-03-22,1975-04-17,1.69,10.16,1975,3
13952,13961,10,1975-05-12,1975-05-21,7.33,15.83,1975,5
13963,13973,11,1975-05-23,1975-06-02,8.39,18.23,1975,5
13976,13993,18,1975-06-05,1975-06-22,10.62,18.51,1975,6
14029,14038,10,1975-07-28,1975-08-06,12.17,21.39,1975,7
14063,14095,33,1975-08-31,1975-10-02,9.13,18.97,1975,8
14317,14329,13,1976-05-11,1976-05-23,7.27,15.79,1976,5
14336,14345,10,1976-05-30,1976-06-08,6.45,15.93,1976,5
14377,14386,10,1976-07-10,1976-07-19,11.9,21.61,1976,7
14388,14404,17,1976-07-21,1976-08-06,12.96,21.21,1976,7
14444,14460,17,1976-09-15,1976-10-01,11.02,18.76,1976,9
14469,14482,14,1976-10-10,1976-10-23,4.97,12.73,1976,10
14515,14525,11,1976-11-25,1976-12-05,-1.24,5.51,1976,11
14570,14581,12,1977-01-19,1977-01-30,-1.13,4.88,1977,1
14637,14648,12,1977-03-27,1977-04-07,3.03,13.15,1977,3
14707,14722,16,1977-06-05,1977-06-20,11.19,20.43,1977,6
14749,14785,37,1977-07-17,1977-08-22,14.1,24.31,1977,7
14971,14980,10,1978-02-24,1978-03-05,-0.86,8.48,1978,2
15034,15044,11,1978-04-28,1978-05-08,6.23,15.03,1978,4
15064,15075,12,1978-05-28,1978-06-08,10.6,21.22,1978,5
15081,15122,42,1978-06-14,1978-07-25,12.62,21.73,1978,6
15124,15137,14,1978-07-27,1978-08-09,13.54,25.5,1978,7
15274,15290,17,1978-12-24,1979-01-09,-7.14,1.65,1978,12
15356,15365,10,1979-03-16,1979-03-25,2.72,12.11,1979,3
15390,15403,14,1979-04-19,1979-05-02,6.19,15.96,1979,4
15408,15427,20,1979-05-07,1979-05-26,8.61,17.2,1979,5
15438,15447,10,1979-06-06,1979-06-15,9.34,19.34,1979,6
15452,15461,10,1979-06-20,1979-06-29,10.45,21.17,1979,6
15474,15507,34,1979-07-12,1979-08-14,12.95,23.3,1979,7
15534,15549,16,1979-09-10,1979-09-25,10.67,19.69,1979,9
15554,15569,16,1979-09-30,1979-10-15,8.07,15.59,1979,9
15591,15600,10,1979-11-06,1979-11-15,-0.83,8.89,1979,11
15662,15676,15,1980-01-16,1980-01-30,-4.15,3.39,1980,1
15762,15771,10,1980-04-25,1980-05-04,7.08,16.75,1980,4
15774,15785,12,1980-05-07,1980-05-18,8.38,16.49,1980,5
15848,15875,28,1980-07-20,1980-08-16,13.26,22.15,1980,7
15920,15931,12,1980-09-30,1980-10-11,8.17,18.24,1980,9
16042,16053,12,1981-01-30,1981-02-10,-1.56,5.99,1981,1
16213,16243,31,1981-07-20,1981-08-19,15.16,23.4,1981,7
16295,16310,16,1981-10-10,1981-10-25,4.47,11.95,1981,10
16452,16461,10,1982-03-16,1982-03-25,0.63,10.27,1982,3
16500,16510,11,1982-05-03,1982-05-13,6.88,14.65,1982,5
16520,16529,10,1982-05-23,1982-06-01,8.8,19.09,1982,5
16534,16553,20,1982-06-06,1982-06-25,12.22,22.6,1982,6
16574,16590,17,1982-07-16,1982-08-01,13.61,21.03,1982,7
16603,16618,16,1982-08-14,1982-08-29,12.63,21.55,1982,8
16632,16643,12,1982-09-12,1982-09-23,10.03,18.79,1982,9
16859,16868,10,1983-04-27,1983-05-06,7.78,16.4,1983,4
16880,16892,13,1983-05-18,1983-05-30,10.98,20.85,1983,5
16938,16948,11,1983-07-15,1983-07-25,12.88,21.31,1983,7
16965,16981,17,1983-08-11,1983-08-27,13.08,21.73,1983,8
17019,17030,12,1983-10-04,1983-10-15,4.92,13.1,1983,10
17091,17101,11,1983-12-15,1983-12-25,-6.2,0.66,1983,12
17134,17143,10,1984-01-27,1984-02-05,1.71,7.8,1984,1
17264,17274,11,1984-06-05,1984-06-15,11.01,17.7,1984,6
17291,17324,34,1984-07-02,1984-08-04,12.72,21.96,1984,7
17326,17335,10,1984-08-06,1984-08-15,13.86,22.67,1984,8
17374,17384,11,1984-09-23,1984-10-03,6.32,16.45,1984,9
17394,17403,10,1984-10-13,1984-10-22,3.23,10.92,1984,10
17472,17486,15,1984-12-30,1985-01-13,-4.77,2.71,1984,12
17538,17550,13,1985-03-06,1985-03-18,0.35,9.53,1985,3
17639,17685,47,1985-06-15,1985-07-31,12.52,23.06,1985,6
17695,17714,20,1985-08-10,1985-08-29,11.9,22.21,1985,8
17734,17746,13,1985-09-18,1985-09-30,6.6,16.57,1985,9
17823,17835,13,1985-12-16,1985-12-28,-0.2,3.76,1985,12
17874,17883,10,1986-02-05,1986-02-14,-0.89,6.49,1986,2
17985,18002,18,1986-05-27,1986-06-13,11.8,20.77,1986,5
18037,18093,57,1986-07-18,1986-09-12,13.57,22.17,1986,7
18111,18135,25,1986-09-30,1986-10-24,6.18,14.7,1986,9
18310,18322,13,1987-04-17,1987-04-29,5.55,14.75,1987,4
18338,18350,13,1987-05-15,1987-05-27,8.17,16.9,1987,5
18375,18387,13,1987-06-21,1987-07-03,13.76,22.46,1987,6
18392,18408,17,1987-07-08,1987-07-24,13.55,22.28,1987,7
18411,18426,16,1987-07-27,1987-08-11,13.62,22.1,1987,7
18429,18447,19,1987-08-14,1987-09-01,12.74,22.99,1987,8
18449,18459,11,1987-09-03,1987-09-13,12.23,20.42,1987,9
18473,18500,28,1987-09-27,1987-10-24,6.53,16.32,1987,9
18617,18627,11,1988-02-18,1988-02-28,2.74,10.02,1988,2
18637,18647,11,1988-03-09,1988-03-19,2.17,10.95,1988,3
18666,18675,10,1988-04-07,1988-04-16,6.05,13.48,1988,4
18763,18795,33,1988-07-13,1988-08-14,13.68,23.21,1988,7
18798,18827,30,1988-08-17,1988-09-15,12.38,21.97,1988,8
18965,18980,16,1989-01-31,1989-02-15,-6.85,2.98,1989,1
19031,19043,13,1989-04-07,1989-04-19,5.93,14.74,1989,4
19045,19058,14,1989-04-21,1989-05-04,8.03,17.59,1989,4
19081,19097,17,1989-05-27,1989-06-12,11.46,20.21,1989,5
19132,19145,14,1989-07-17,1989-07-30,13.01,22.68,1989,7
19148,19159,12,1989-08-02,1989-08-13,13.52,22.41,1989,8
19169,19202,34,1989-08-23,1989-09-25,11.06,20.32,1989,8
19277,19286,10,1989-12-09,1989-12-18,-0.93,5.66,1989,12
19382,19401,20,1990-03-24,1990-04-12,4.03,12.99,1990,3
19461,19471,11,1990-06-11,1990-06-21,11.99,19.88,1990,6
19488,19528,41,1990-07-08,1990-08-17,15.09,24.53,1990,7
19530,19539,10,1990-08-19,1990-08-28,13.01,21.96,1990,8
19542,19556,15,1990-08-31,1990-09-14,12.37,20.91,1990,8
19559,19572,14,1990-09-17,1990-09-30,11.29,19.4,1990,9
19683,19694,12,1991-01-19,1991-01-30,-3.01,4.04,1991,1
19764,19776,13,1991-04-10,1991-04-22,4.73,14.36,1991,4
19809,19818,10,1991-05-25,1991-06-03,9.09,16.18,1991,5
19845,19856,12,1991-06-30,1991-07-11,13.38,21.85,1991,6
19870,19882,13,1991-07-25,1991-08-06,13.71,22.84,1991,7
19889,19901,13,1991-08-13,1991-08-25,14.75,23.17,1991,8
19908,19919,12,1991-09-01,1991-09-12,10.86,19.54,1991,9
19921,19952,32,1991-09-14,1991-10-15,9.08,17.9,1991,9
20105,20115,11,1992-03-16,1992-03-26,4.29,12.89,1992,3
20160,20177,18,1992-05-10,1992-05-27,8.52,17.97,1992,5
20179,20189,11,1992-05-29,1992-06-08,11.73,20.91,1992,5
20195,20209,15,1992-06-14,1992-06-28,13.95,22.85,1992,6
20222,20231,10,1992-07-11,1992-07-20,14.83,23.46,1992,7
20234,20247,14,1992-07-23,1992-08-05,14.81,23.14,1992,7
20251,20262,12,1992-08-09,1992-08-20,14.38,22.76,1992,8
20282,20292,11,1992-09-09,1992-09-19,8.45,17.06,1992,9
20300,20314,15,1992-09-27,1992-10-11,8.97,16.79,1992,9
20390,20407,18,1992-12-30,1993-01-18,-9.21,0.3,1992,12
20417,20427,11,1993-01-29,1993-02-08,1.88,10.74,1993,1
20588,20597,10,1993-07-30,1993-08-08,15.13,23.95,1993,7
20611,20652,42,1993-08-23,1993-10-04,10.06,19.65,1993,8
20682,20692,11,1993-11-04,1993-11-14,1.56,9,1993,11
20722,20735,14,1993-12-15,1993-12-28,-1.55,6.16,1993,12
20761,20776,16,1994-01-24,1994-02-08,-0.27,5.88,1994,1
20819,20829,11,1994-03-23,1994-04-02,3.65,13.35,1994,3
20862,20872,11,1994-05-05,1994-05-15,9.57,18.39,1994,5
20874,20884,11,1994-05-17,1994-05-27,10.35,19.81,1994,5
20923,20934,12,1994-07-05,1994-07-16,12.57,22.33,1994,7
20936,20951,16,1994-07-18,1994-08-02,14.99,25.46,1994,7
20958,20969,12,1994-08-09,1994-08-20,14.15,23.84,1994,8
20996,21009,14,1994-09-16,1994-09-29,11.5,19.72,1994,9
21012,21022,11,1994-10-02,1994-10-12,7.39,15.47,1994,10
21099,21108,10,1994-12-28,1995-01-06,-3.91,4.8,1994,12
21182,21191,10,1995-03-21,1995-03-30,2.46,11.03,1995,3
21210,21223,14,1995-04-18,1995-05-01,6.75,15.39,1995,4
21234,21256,23,1995-05-12,1995-06-03,10.2,19.85,1995,5
21273,21284,12,1995-06-20,1995-07-01,14.28,23.74,1995,6
21293,21307,15,1995-07-10,1995-07-24,14.97,23.27,1995,7
21310,21319,10,1995-07-27,1995-08-05,13.91,22.34,1995,7
21333,21348,16,1995-08-19,1995-09-03,12.03,20.93,1995,8
21350,21371,22,1995-09-05,1995-09-26,12.18,21.7,1995,9
21492,21501,10,1996-01-25,1996-02-03,-7.02,0.56,1996,1
21612,21628,17,1996-05-24,1996-06-09,11.08,18.37,1996,5
21631,21642,12,1996-06-12,1996-06-23,9.88,18.3,1996,6
21652,21665,14,1996-07-03,1996-07-16,13.71,22.07,1996,7
21669,21681,13,1996-07-20,1996-08-01,14.63,23.88,1996,7
21685,21709,25,1996-08-05,1996-08-29,14.14,22.67,1996,8
21734,21743,10,1996-09-23,1996-10-02,7.94,15.62,1996,9
21924,21935,12,1997-04-01,1997-04-12,2.5,12.32,1997,4
21960,21974,15,1997-05-07,1997-05-21,9.98,19.69,1997,5
22025,22034,10,1997-07-11,1997-07-20,14.38,22.5,1997,7
22036,22050,15,1997-07-22,1997-08-05,13.99,23.3,1997,7
22052,22064,13,1997-08-07,1997-08-19,15.1,24.55,1997,8
22312,22325,14,1998-04-24,1998-05-07,8.93,18.15,1998,4
22346,22358,13,1998-05-28,1998-06-09,12.44,19.96,1998,5
22360,22372,13,1998-06-11,1998-06-23,12.88,19.58,1998,6
22396,22426,31,1998-07-17,1998-08-16,15.84,25.02,1998,7
22428,22457,30,1998-08-18,1998-09-16,13.48,22.57,1998,8
22703,22714,12,1999-05-20,1999-05-31,9.54,18.1,1999,5
22748,22767,20,1999-07-04,1999-07-23,12.53,21.04,1999,7
22812,22828,17,1999-09-06,1999-09-22,10.98,20.08,1999,9
22832,22841,10,1999-09-26,1999-10-05,6.76,15.27,1999,9
22917,22926,10,1999-12-20,1999-12-29,1.58,4.77,1999,12
