x,y,MIN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_SNOW,MAX_TEMPERATURE,MEAN_TEMPERATURE,SNOW_ON_GROUND,MIN_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,MAX_REL_HUMIDITY,TOTAL_RAIN,LOCAL_MONTH,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,PROVINCE_CODE,MIN_TEMPERATURE,LOCAL_DAY,ID,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,TOTAL_RAIN_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION_FLAG,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG
-122.59694444444445,58.83638888888889,,17.9,,1192946,0,10.1,0.1,49,21,2020-03-20 00:00:00,FORT NELSON A,,,,,74,0,3,67,,2020,BC,-10,20,1192946.2020.3.20,26,,0,0,,,,,
-122.59694444444445,58.83638888888889,,18.3,,1192946,8,5.3,-0.3,53,28,2020-03-21 00:00:00,FORT NELSON A,,,,,94,0,3,63,,2020,BC,-5.9,21,1192946.2020.3.21,33,,3,0,,,,,
-122.59694444444445,58.83638888888889,,20.1,,1192946,0,5.3,-2.1,53,37,2020-03-22 00:00:00,FORT NELSON A,,,,,76,0,3,,M,2020,BC,-9.4,22,1192946.2020.3.22,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,26,,1192946,3,0.9,-8,53,38,2020-03-23 00:00:00,FORT NELSON A,,,,,91,1.4,3,63,,2020,BC,-16.9,23,1192946.2020.3.23,35,,2.4,0,,,,,
-122.59694444444445,58.83638888888889,,28.8,,1192946,0,-0.4,-10.8,39,37,2020-03-24 00:00:00,FORT NELSON A,,,,,85,0,3,,M,2020,BC,-21.1,24,1192946.2020.3.24,,,0,0,,M,,,
-122.59694444444445,58.83638888888889,,20,,1192946,0,7.1,-2,39,35,2020-03-25 00:00:00,FORT NELSON A,,,T,,74,0,3,39,,2020,BC,-11.1,25,1192946.2020.3.25,26,,0,0,,,T,,
-122.59694444444445,58.83638888888889,,17.5,,1192946,1,5.1,0.5,37,49,2020-03-26 00:00:00,FORT NELSON A,,,,,86,0,3,55,,2020,BC,-4.1,26,1192946.2020.3.26,31,,0.6,0,,,,,
-122.59694444444445,58.83638888888889,,28.7,,1192946,1.6,-3,-10.7,44,60,2020-03-27 00:00:00,FORT NELSON A,,,,,84,0,3,54,,2020,BC,-18.4,27,1192946.2020.3.27,32,,0.9,0,,,,,
-122.59694444444445,58.83638888888889,,37.9,,1192946,0.2,-15.4,-19.9,46,56,2020-03-28 00:00:00,FORT NELSON A,,,,,78,0,3,,M,2020,BC,-24.4,28,1192946.2020.3.28,10,,0.2,0,,,,,
-122.59694444444445,58.83638888888889,,32.6,,1192946,1,-11.7,-14.6,47,63,2020-03-29 00:00:00,FORT NELSON A,,,,,82,0,3,32,,2020,BC,-17.4,29,1192946.2020.3.29,32,,0.8,0,,,,,
