"Month","Day","Percentile_90","Station"
"06","27",27.2,"Abbotsford"
"06","28",27.2,"Abbotsford"
"06","29",27.2,"Abbotsford"
"06","30",27.2,"Abbotsford"
"07","01",27.2,"Abbotsford"
"07","02",27.2,"Abbotsford"
"07","03",27.2,"Abbotsford"
"07","04",27.21,"Abbotsford"
"07","05",27.43,"Abbotsford"
"07","06",27.71,"Abbotsford"
"07","07",27.8,"Abbotsford"
"07","08",27.81,"Abbotsford"
"07","09",27.81,"Abbotsford"
"07","10",28.12,"Abbotsford"
"07","11",28.3,"Abbotsford"
"07","12",28.3,"Abbotsford"
"07","13",28.4,"Abbotsford"
"07","14",28.81,"Abbotsford"
"07","15",28.9,"Abbotsford"
"07","16",28.9,"Abbotsford"
"07","17",28.9,"Abbotsford"
"07","18",29.4,"Abbotsford"
"07","19",29.51,"Abbotsford"
"07","20",29.61,"Abbotsford"
"07","21",29.71,"Abbotsford"
"07","22",30,"Abbotsford"
"07","23",30,"Abbotsford"
"07","24",30.2,"Abbotsford"
"07","25",30,"Abbotsford"
"07","26",30,"Abbotsford"
"07","27",29.63,"Abbotsford"
"07","28",29.62,"Abbotsford"
"07","29",29.6,"Abbotsford"
"07","30",29.81,"Abbotsford"
"07","31",30,"Abbotsford"
"08","01",30,"Abbotsford"
"08","02",30,"Abbotsford"
"08","03",30.41,"Abbotsford"
"08","04",30.6,"Abbotsford"
"08","05",31.01,"Abbotsford"
"08","06",30.61,"Abbotsford"
"08","07",30.6,"Abbotsford"
"08","08",30.6,"Abbotsford"
"08","09",30.6,"Abbotsford"
"08","10",30.61,"Abbotsford"
"08","11",30.7,"Abbotsford"
"08","12",30.72,"Abbotsford"
"08","13",30.71,"Abbotsford"
"08","14",30.61,"Abbotsford"
"08","15",30.13,"Abbotsford"
"08","16",30.01,"Abbotsford"
"08","17",30,"Abbotsford"
"08","18",29.4,"Abbotsford"
"08","19",28.91,"Abbotsford"
"08","20",28.9,"Abbotsford"
"08","21",28.9,"Abbotsford"
"08","22",28.54,"Abbotsford"
"08","23",28.5,"Abbotsford"
"08","24",28.41,"Abbotsford"
"08","25",28.5,"Abbotsford"
"08","26",28.5,"Abbotsford"
"08","27",28.5,"Abbotsford"
"08","28",28.41,"Abbotsford"
"08","29",28.41,"Abbotsford"
"08","30",28.32,"Abbotsford"
"08","31",27.83,"Abbotsford"
"09","01",27.8,"Abbotsford"
"09","02",27.8,"Abbotsford"
"09","03",27.8,"Abbotsford"
"09","04",27.62,"Abbotsford"
"09","05",27.2,"Abbotsford"
"09","06",27.21,"Abbotsford"
"09","07",27.21,"Abbotsford"
"09","08",27.21,"Abbotsford"
"09","09",27.2,"Abbotsford"
"09","10",27.11,"Abbotsford"
"09","11",27.1,"Abbotsford"
"09","12",26.81,"Abbotsford"
"09","13",26.8,"Abbotsford"
"09","14",26.71,"Abbotsford"
"09","15",27.01,"Abbotsford"
"09","16",26.8,"Abbotsford"
"09","17",26.71,"Abbotsford"
"09","18",26.6,"Abbotsford"
"09","19",26.51,"Abbotsford"
"09","20",26.32,"Abbotsford"
"09","21",26.1,"Abbotsford"
"09","22",25.6,"Abbotsford"
"09","23",25.6,"Abbotsford"
"09","24",25.6,"Abbotsford"
"09","25",25.51,"Abbotsford"
"09","26",25.22,"Abbotsford"
"09","27",25.01,"Abbotsford"
"09","28",24.4,"Abbotsford"
"09","29",24,"Abbotsford"
"09","30",23.44,"Abbotsford"
"10","01",23.3,"Abbotsford"
"10","02",22.81,"Abbotsford"
"10","03",22.8,"Abbotsford"
"10","04",22.8,"Abbotsford"
"10","05",22.21,"Abbotsford"
"10","06",22.2,"Abbotsford"
"10","07",22,"Abbotsford"
"10","08",21.7,"Abbotsford"
"10","09",21.7,"Abbotsford"
"10","10",21.32,"Abbotsford"
"10","11",21.1,"Abbotsford"
"10","12",20.76,"Abbotsford"
"10","13",20.54,"Abbotsford"
"10","14",20.2,"Abbotsford"
"10","15",20,"Abbotsford"
"10","16",20,"Abbotsford"
"10","17",19.64,"Abbotsford"
"10","18",19.29,"Abbotsford"
"10","19",18.9,"Abbotsford"
"10","20",18.9,"Abbotsford"
"10","21",18.9,"Abbotsford"
"10","22",18.3,"Abbotsford"
"10","23",17.8,"Abbotsford"
"10","24",17.8,"Abbotsford"
"10","25",17.54,"Abbotsford"
"10","26",17.64,"Abbotsford"
"10","27",17.2,"Abbotsford"
"10","28",17.2,"Abbotsford"
"10","29",16.7,"Abbotsford"
"10","30",16.7,"Abbotsford"
"10","31",16.1,"Abbotsford"
"11","01",15.6,"Abbotsford"
"11","02",15.6,"Abbotsford"
"11","03",15.58,"Abbotsford"
"11","04",15,"Abbotsford"
"11","05",15,"Abbotsford"
"11","06",15,"Abbotsford"
"11","07",14.8,"Abbotsford"
"11","08",14.56,"Abbotsford"
"11","09",14.4,"Abbotsford"
"11","10",13.9,"Abbotsford"
"11","11",13.4,"Abbotsford"
"11","12",13.3,"Abbotsford"
"11","13",13.3,"Abbotsford"
"11","14",13.12,"Abbotsford"
"11","15",12.8,"Abbotsford"
"11","16",12.8,"Abbotsford"
"11","17",12.62,"Abbotsford"
"11","18",12.31,"Abbotsford"
"11","19",12.2,"Abbotsford"
"11","20",12.2,"Abbotsford"
"11","21",11.8,"Abbotsford"
"11","22",11.7,"Abbotsford"
"11","23",11.7,"Abbotsford"
"11","24",11.41,"Abbotsford"
"11","25",11.5,"Abbotsford"
"11","26",11.7,"Abbotsford"
"11","27",11.7,"Abbotsford"
"11","28",11.1,"Abbotsford"
"11","29",11.1,"Abbotsford"
"11","30",11.1,"Abbotsford"
"12","01",11.1,"Abbotsford"
"12","02",11.01,"Abbotsford"
"12","03",10.91,"Abbotsford"
"12","04",11.1,"Abbotsford"
"12","05",10.83,"Abbotsford"
"12","06",11.1,"Abbotsford"
"12","07",11.1,"Abbotsford"
"12","08",11.1,"Abbotsford"
