"Month","LOCAL_YEAR","max_EHF","Station"
"02",1971,-3.38833333333324,"Abbotsford"
"02",1972,-6.73333333333325,"Abbotsford"
"02",1973,-4.09999999999991,"Abbotsford"
"02",1974,-3.73333333333324,"Abbotsford"
"02",1975,-7.58275000000028,"Abbotsford"
"02",1976,-4.0549999999999,"Abbotsford"
"02",1977,5.17111111111179,"Abbotsford"
"02",1978,4.91760706230107e-13,"Abbotsford"
"02",1979,-7.94266666666727,"Abbotsford"
"02",1980,-2.06533333333276,"Abbotsford"
"02",1981,0.504733333333921,"Abbotsford"
"02",1982,-4.73333333333322,"Abbotsford"
"02",1983,2.05364444444496,"Abbotsford"
"02",1984,-1.56699999999947,"Abbotsford"
"02",1985,-9.2999999999999,"Abbotsford"
"02",1986,7.91188888888951,"Abbotsford"
"02",1987,1.16538333333371,"Abbotsford"
"02",1988,4.17273888888943,"Abbotsford"
"02",1989,-7.3549999999999,"Abbotsford"
"02",1990,-3.3999999999999,"Abbotsford"
"02",1991,15.0522222222234,"Abbotsford"
"02",1992,8.07366666666725,"Abbotsford"
"02",1993,2.37160000000093,"Abbotsford"
"02",1994,5.3946666666676,"Abbotsford"
"02",1995,0.0391319444447728,"Abbotsford"
"02",1996,7.19856250000098,"Abbotsford"
"02",1997,1.35537222222276,"Abbotsford"
"02",1998,-0.782222222222134,"Abbotsford"
"02",1999,-3.00999999999995,"Abbotsford"
"02",2000,-3.31955555555551,"Abbotsford"
"02",2001,-3.19999999999995,"Abbotsford"
"02",2002,-4.13855555555551,"Abbotsford"
"02",2003,-2.34333333333327,"Abbotsford"
"02",2004,-3.26666666666662,"Abbotsford"
"02",2005,-1.7075555555552,"Abbotsford"
"02",2006,-1.3766666666666,"Abbotsford"
"02",2007,0.513083333333741,"Abbotsford"
"02",2008,-4.17207777777743,"Abbotsford"
"02",2009,-5.05499999999998,"Abbotsford"
"02",2010,2.01666666666689,"Abbotsford"
"02",2011,-3.15499999999992,"Abbotsford"
"02",2012,-2.86666666666659,"Abbotsford"
"02",2019,-5.77666666666658,"Abbotsford"
"02",2020,-3.99999999999993,"Abbotsford"
"02",2021,-3.41111111111096,"Abbotsford"
"02",2022,-4.57537222222209,"Abbotsford"
"02",2023,-3.28833333333327,"Abbotsford"
"02",2024,-1.70666666666657,"Abbotsford"
"03",1936,-9.7,"Abbotsford"
"03",1937,4.31633333333334,"Abbotsford"
"03",1938,-2.97183333333328,"Abbotsford"
"03",1939,20.912222222222,"Abbotsford"
"03",1940,0.435302777777766,"Abbotsford"
"03",1941,29.6642222222222,"Abbotsford"
"03",1942,19.8273833333333,"Abbotsford"
"03",1943,-2.93333333333332,"Abbotsford"
"03",1944,-1.6430091145681,"Abbotsford"
"03",1945,-5.48833333333333,"Abbotsford"
"03",1946,-3.13333333333333,"Abbotsford"
"03",1947,12.9533333333334,"Abbotsford"
"03",1948,-5.51666666666666,"Abbotsford"
"03",1949,-3.4596666666665,"Abbotsford"
"03",1950,-4.58111111111093,"Abbotsford"
"03",1951,-8.46666666666662,"Abbotsford"
"03",1952,-5.26666666666661,"Abbotsford"
"03",1953,-4.24199999999974,"Abbotsford"
"03",1954,-4.23499999999998,"Abbotsford"
"03",1955,-8.03333333333327,"Abbotsford"
"03",1956,-6.06666666666661,"Abbotsford"
"03",1957,-4.85799999999986,"Abbotsford"
"03",1958,-1.84105555555531,"Abbotsford"
"03",1959,-3.49999999999992,"Abbotsford"
"03",1960,5.77555555555614,"Abbotsford"
"03",1961,-0.671999999999666,"Abbotsford"
"03",1962,-7.26666666666658,"Abbotsford"
"03",1963,-2.151333333333,"Abbotsford"
"03",1964,2.27815000000057,"Abbotsford"
"03",1965,4.24266666666708,"Abbotsford"
"03",1966,9.83111111111178,"Abbotsford"
"03",1967,-5.09833333333324,"Abbotsford"
"03",1968,1.64000000000029,"Abbotsford"
"03",1969,2.50900000000054,"Abbotsford"
"03",1970,-1.70488888888862,"Abbotsford"
"03",1971,-5.29999999999991,"Abbotsford"
"03",1972,4.73888888888942,"Abbotsford"
"03",1973,-2.96222222222225,"Abbotsford"
"03",1974,-4.9999999999999,"Abbotsford"
"03",1975,-4.7999999999999,"Abbotsford"
"03",1976,-6.36666666666657,"Abbotsford"
"03",1977,-2.50833333333341,"Abbotsford"
"03",1978,-1.44539999999965,"Abbotsford"
"03",1979,1.79022222222302,"Abbotsford"
"03",1980,-0.997888888888397,"Abbotsford"
"03",1981,0.709333333333712,"Abbotsford"
"03",1982,-4.33333333333322,"Abbotsford"
"03",1983,1.03522222222255,"Abbotsford"
"03",1984,-1.3259999999997,"Abbotsford"
"03",1985,-4.4999999999999,"Abbotsford"
"03",1986,3.38666666666707,"Abbotsford"
"03",1987,26.1096666666672,"Abbotsford"
"03",1988,-2.56666666666658,"Abbotsford"
"03",1989,-1.48399999999932,"Abbotsford"
"03",1990,0.434888888889573,"Abbotsford"
"03",1991,2.68543888888962,"Abbotsford"
"03",1992,4.1111111111115,"Abbotsford"
"03",1993,5.15733333333395,"Abbotsford"
"03",1994,18.8906666666676,"Abbotsford"
"03",1995,4.62003333333387,"Abbotsford"
"03",1996,7.02050000000056,"Abbotsford"
"03",1997,-3.73333333333325,"Abbotsford"
"03",1998,7.25000000000036,"Abbotsford"
"03",1999,3.61900000000024,"Abbotsford"
"03",2000,-0.451333333333131,"Abbotsford"
"03",2001,5.50277777777812,"Abbotsford"
"03",2002,-5.23333333333328,"Abbotsford"
"03",2003,15.8720000000004,"Abbotsford"
"03",2004,6.84527777777799,"Abbotsford"
"03",2005,15.2844444444449,"Abbotsford"
"03",2006,-3.85277777777751,"Abbotsford"
"03",2007,1.35888888888912,"Abbotsford"
"03",2008,-2.53999999999983,"Abbotsford"
"03",2009,-4.73333333333324,"Abbotsford"
"03",2010,-0.246666666666513,"Abbotsford"
"03",2011,-4.09888888888872,"Abbotsford"
"03",2012,-4.09866666666643,"Abbotsford"
"03",2019,44.478933333334,"Abbotsford"
"03",2020,-4.38333333333326,"Abbotsford"
"03",2021,-3.93555555555541,"Abbotsford"
"03",2022,2.03333333333372,"Abbotsford"
"03",2023,-2.58844444444409,"Abbotsford"
"03",2024,14.5266666666668,"Abbotsford"
"04",1936,-11.355,"Abbotsford"
"04",1937,-3.92166666666666,"Abbotsford"
"04",1938,-1.52444444444442,"Abbotsford"
"04",1939,0.686666666666566,"Abbotsford"
"04",1940,15.3262222222221,"Abbotsford"
"04",1941,7.13,"Abbotsford"
"04",1942,0.141666666666636,"Abbotsford"
"04",1943,13.6214000000002,"Abbotsford"
"04",1944,3.39411915545997,"Abbotsford"
"04",1945,-1.78367777777771,"Abbotsford"
"04",1946,-4.69093333333314,"Abbotsford"
"04",1947,15.6913555555556,"Abbotsford"
"04",1948,-3.35069999999985,"Abbotsford"
