"Month","LOCAL_YEAR","max_EHF","max_EHF_95","min_ECF_05","Station"
"01",1900,6.82499999999998,2.68450000000002,16.2066666666667,"Kelowna"
"01",1901,-0.345781358507087,-5.50000000000003,11.7,"Kelowna"
"01",1903,-3.74632222222201,-5.07666666666671,12.7999999999999,"Kelowna"
"01",1904,-0.632250000000081,-2.35555555555547,12.9333333333333,"Kelowna"
"01",1905,-0.469455555555816,-2.33333333333337,13.0983333333333,"Kelowna"
"01",1906,14.1228666666661,6.06096666666628,13.2649999999999,"Kelowna"
"01",1907,-13.1766666666667,-14.3333333333334,-85.9173333333343,"Kelowna"
"01",1908,1.34755555555543,-0.673777777777885,14.0633333333333,"Kelowna"
"01",1909,-7.40000000000004,-8.20000000000004,-188.527950000001,"Kelowna"
"01",1910,2.26807777777736,-7.56666666666671,10.9,"Kelowna"
"01",1911,2.56537777777761,-0.520888888889045,-131.031166666667,"Kelowna"
"01",1912,-9.83333333333338,-10.7333333333334,-4.6605000000006,"Kelowna"
"01",1913,-2.51000000000004,-3.30000000000004,2.24824999999967,"Kelowna"
"01",1914,8.74592222222195,4.95655555555529,14.6999999999999,"Kelowna"
"01",1915,-5.09888888888896,-5.96666666666672,12.3666666666666,"Kelowna"
"01",1916,-6.86666666666673,-7.77666666666672,-43.6944111111121,"Kelowna"
"01",1917,-2.93833333333383,-7.25333333333329,-43.7546666666681,"Kelowna"
"01",1918,5.77647777777738,2.14511111111074,13.6533333333333,"Kelowna"
"01",1919,15.6311777777771,6.69577777777712,13.8666666666666,"Kelowna"
"01",1920,25.4368888888881,17.2382222222215,11.9416666666666,"Kelowna"
"01",1921,0.777088888888794,-0.207777777777864,15.2633333333333,"Kelowna"
"01",1922,-5.29665555555541,-6.1208888888887,9.43166666666657,"Kelowna"
"01",1923,17.1578666666658,10.4586666666658,14.7666666666666,"Kelowna"
"01",1924,11.6257444444435,-1.58388888888979,-12.9195000000018,"Kelowna"
"01",1925,-3.10590000000064,-7.53333333333344,9.24333333333323,"Kelowna"
"01",1926,-1.3544444444446,-3.1100000000001,14.7666666666666,"Kelowna"
"01",1927,8.97162222222153,4.60555555555492,-28.1700388888905,"Kelowna"
"01",1928,10.6736666666656,0.43664999999901,10.2986333333338,"Kelowna"
"01",1929,-4.64333333333344,-5.84333333333343,-54.6186666666684,"Kelowna"
"01",1930,-3.21000000000011,-4.0000000000001,-40.4219666666683,"Kelowna"
"01",1931,5.93323333333268,-0.54433333333389,12.6549999999999,"Kelowna"
"01",1932,-1.36533333333355,-2.7000000000001,6.22999999999881,"Kelowna"
"01",1933,16.9119999999991,10.4693333333325,14.6999999999999,"Kelowna"
"01",1934,5.82399999999937,-5.47449493145291e-13,14.0199999999999,"Kelowna"
"01",1935,5.23157777777728,2.10844444444399,-119.487466666669,"Kelowna"
"01",1936,1.40356666666644,-1.93304631560897e-13,15.3316666666666,"Kelowna"
"01",1937,-9.00000000000012,-9.80000000000012,-9.85081666666776,"Kelowna"
"01",1938,0.664788888888281,-2.93455555555554,15.1999999999999,"Kelowna"
"01",1939,16.2061027777767,11.5049444444435,13.6883333333332,"Kelowna"
"01",1940,0.677922222221973,-0.400000000000109,14.8999999999999,"Kelowna"
"01",1941,4.47199999999953,0.372666666666244,15.9649999999999,"Kelowna"
"01",1942,-6.73333333333343,-7.78833333333342,12.3299999999999,"Kelowna"
"01",1943,-2.86666666666676,-3.87666666666675,-93.2319833333351,"Kelowna"
"01",1944,14.5410222222213,5.27022222222135,13.4666666666666,"Kelowna"
"01",1945,24.5399999999989,17.177999999999,14.7966666666666,"Kelowna"
"01",1946,4.40522222222176,1.82655555555514,15.0666666666665,"Kelowna"
"01",1947,29.4379555555542,17.030222222221,12.8216666666666,"Kelowna"
"01",1948,0.42333333333322,-0.366666666666778,14.2666666666666,"Kelowna"
"01",1949,-6.40249999999983,-7.25833333333312,7.94277777777685,"Kelowna"
"01",1950,-8.23333333333347,-9.14333333333346,-103.439938888891,"Kelowna"
"01",1951,-0.220000000000171,-1.54333333333346,-2.63388888889105,"Kelowna"
"01",1952,-8.25933333333484,-9.2333333333335,7.70999999999983,"Kelowna"
"01",1953,7.83199999999923,2.19999999999933,15.3649999999999,"Kelowna"
"01",1954,9.44177777777707,7.03111111111047,-10.5902444444471,"Kelowna"
"01",1955,-2.51000000000015,-3.63333333333349,12.7883333333332,"Kelowna"
"01",1956,5.83675555555441,0.454222222221159,13.8666666666665,"Kelowna"
"01",1957,-1.57188888888894,-2.44922222222222,-34.3474444444465,"Kelowna"
"01",1958,2.76339999999959,-0.188600000000308,15.5216666666665,"Kelowna"
"01",1959,7.42933333333247,2.53061666666592,14.2450000000011,"Kelowna"
"01",1960,1.76158888888777,-3.83333333333349,13.7666666666665,"Kelowna"
"01",1961,31.3102666666651,22.9422666666653,15.6199999999998,"Kelowna"
"01",1962,20.683211111109,6.70444444444258,-57.4813444444476,"Kelowna"
"01",1963,8.69806666666562,6.54399999999909,18.9387611111131,"Kelowna"
"01",1964,5.21022222222131,1.91955555555475,15.7333333333332,"Kelowna"
"01",1965,0.181111111110047,-6.26666666666686,10.1333333333331,"Kelowna"
"01",1966,14.2753333333316,6.68686666666513,12.4316666666665,"Kelowna"
"01",1967,4.66223333333239,-0.816455555555732,16.0866666666665,"Kelowna"
"01",1968,35.8152333333312,25.5253333333313,14.4666666666665,"Kelowna"
"01",1969,-8.40000000000019,-9.31000000000018,-90.5699222222254,"Kelowna"
"01",1970,-4.97666666666687,-5.76666666666687,10.4999999999998,"Kelowna"
