"Year","DayOfYear","variable","value","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
2022,"05-30","Max_Temp_Year",19.3,28.3,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"05-31","Max_Temp_Year",19.3,28.3,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-01","Max_Temp_Year",24.1,28.7,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-02","Max_Temp_Year",21.7,28.75,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-03","Max_Temp_Year",18.6,28.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-04","Max_Temp_Year",18,28.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-05","Max_Temp_Year",19.6,28.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-06","Max_Temp_Year",22.1,28.9,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-07","Max_Temp_Year",25,29.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-08","Max_Temp_Year",24.5,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-09","Max_Temp_Year",17.6,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-10","Max_Temp_Year",25.3,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-11","Max_Temp_Year",24.4,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-12","Max_Temp_Year",23.6,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-13","Max_Temp_Year",16,29.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-14","Max_Temp_Year",19.9,29.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-15","Max_Temp_Year",23.5,29.8,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-16","Max_Temp_Year",19.3,30,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-17","Max_Temp_Year",16.9,30,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-18","Max_Temp_Year",21.8,30,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-19","Max_Temp_Year",16.3,30.2,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-20","Max_Temp_Year",24.3,30.4,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-21","Max_Temp_Year",24.1,30.6,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-22","Max_Temp_Year",26.4,30.6,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-23","Max_Temp_Year",19.9,30.77,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-24","Max_Temp_Year",23.1,31.1,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-25","Max_Temp_Year",27.2,31.1,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-26","Max_Temp_Year",30,31.23,"Not Higher",87,"Not Higher",NA,"Kelowna"
2022,"06-27","Max_Temp_Year",32.3,31.7,"Not Higher",1,"Not Higher",NA,"Kelowna"
2022,"06-28","Max_Temp_Year",24.8,31.7,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"06-29","Max_Temp_Year",18.1,31.7,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"06-30","Max_Temp_Year",25.6,31.8,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-01","Max_Temp_Year",29.2,32.14,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-02","Max_Temp_Year",29.2,32.2,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-03","Max_Temp_Year",19,32.2,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-04","Max_Temp_Year",19.8,32.5,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-05","Max_Temp_Year",24.6,32.8,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-06","Max_Temp_Year",21,32.8,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-07","Max_Temp_Year",24.6,32.8,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-08","Max_Temp_Year",27.5,32.8,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-09","Max_Temp_Year",26.7,33,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-10","Max_Temp_Year",27.1,33.02,"Not Higher",13,"Not Higher",NA,"Kelowna"
2022,"07-11","Max_Temp_Year",NA,33.1,NA,1,NA,NA,"Kelowna"
2022,"07-12","Max_Temp_Year",35.5,33.21,"Not Higher",1,"Not Higher",NA,"Kelowna"
2022,"07-13","Max_Temp_Year",29.1,33.3,"Not Higher",1,"Not Higher",NA,"Kelowna"
2022,"07-14","Max_Temp_Year",NA,33.35,NA,1,NA,NA,"Kelowna"
2022,"07-15","Max_Temp_Year",NA,33.7,NA,1,NA,NA,"Kelowna"
2022,"07-16","Max_Temp_Year",31.2,33.9,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-17","Max_Temp_Year",28.2,33.9,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-18","Max_Temp_Year",29.2,33.9,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-19","Max_Temp_Year",32.3,33.97,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-20","Max_Temp_Year",33.7,34,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-21","Max_Temp_Year",34.4,34.2,"Not Higher",1,"Not Higher",NA,"Kelowna"
2022,"07-22","Max_Temp_Year",32.7,34.2,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-23","Max_Temp_Year",32.2,34.2,"Not Higher",5,"Not Higher",NA,"Kelowna"
2022,"07-24","Max_Temp_Year",33.7,34.3,"Not Higher",5,"Not Higher",NA,"Kelowna"
