"Year","DayOfYear","variable","value","Temp_Diff","Percentile_90","Temp_Higher","streak","Heatwave","daily_max_temp","station"
1940,"05-10","Temp_Diff",-5.13714756544416,-5.13714756544416,18.8791875140972,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-11","Temp_Diff",-4.60015996309235,-4.60015996309235,19.0320983187264,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-12","Temp_Diff",-5.26310113961548,-5.26310113961548,19.1017637911196,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-13","Temp_Diff",-2.33642482008113,-2.33642482008113,19.2048554087552,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-14","Temp_Diff",-4.34857722117342,-4.34857722117342,19.2048554087552,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-15","Temp_Diff",-6.45762194640367,-6.45762194640367,19.3328270099249,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-16","Temp_Diff",-6.64643646110308,-6.64643646110308,19.4274805466867,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-17","Temp_Diff",-2.8831351629082,-2.8831351629082,19.5493965930691,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-18","Temp_Diff",-0.417368521632259,-0.417368521632259,19.6678256796373,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-19","Temp_Diff",-3.49115150298802,-3.49115150298802,19.6681451066102,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-20","Temp_Diff",-4.64581574791634,-4.64581574791634,19.6873387352317,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-21","Temp_Diff",-0.673819009542459,-0.673819009542459,19.7261073120187,"Not Higher",12,"Not Higher",NA,"YVR_era5"
1940,"05-22","Temp_Diff",0.17833774840177,0.17833774840177,19.9183373485854,"Not Higher",2,"Not Higher",NA,"YVR_era5"
1940,"05-23","Temp_Diff",0.314433972778382,0.314433972778382,19.9924108886905,"Not Higher",2,"Not Higher",NA,"YVR_era5"
1940,"05-24","Temp_Diff",-3.72994871925513,-3.72994871925513,20.1244972620993,"Not Higher",17,"Not Higher",NA,"YVR_era5"
1940,"05-25","Temp_Diff",-6.73556769026739,-6.73556769026739,20.1942015582649,"Not Higher",17,"Not Higher",NA,"YVR_era5"
