"begin","end","starttemp","endtemp","avgexc","year","month"
1963-09-28,1963-10-01,21.7,18.9,1.69,1963,9
1963-12-05,1963-12-07,-2.2,-1.7,1.793,1963,12
1963-12-30,1964-01-01,-3.9,0,5.513,1963,12
1964-02-06,1964-02-08,7.2,3.3,7.59,1964,2
1964-06-01,1964-06-03,26.7,26.7,0.763,1964,6
1964-07-07,1964-07-09,28.9,30.6,2.733,1964,7
1964-10-06,1964-10-09,18.9,20,2.54,1964,10
1964-12-06,1964-12-09,0.6,-2.8,5.987,1964,12
1965-03-04,1965-03-07,7.8,11.7,2.515,1965,3
1965-03-09,1965-03-13,13.3,10,3.832,1965,3
1965-07-28,1965-08-02,28.9,30,1.072,1965,7
1966-03-26,1966-03-29,14.4,17.8,3.565,1966,3
1966-05-05,1966-05-08,23.3,26.7,6.222,1966,5
1966-07-13,1966-07-15,28.9,28.9,0.73,1966,7
1966-09-13,1966-09-15,25,25,2.86,1966,9
1967-06-23,1967-06-25,27.8,28.3,1.997,1967,6
1967-08-29,1967-08-31,27.8,24.4,3.867,1967,8
1967-09-14,1967-09-17,22.8,24.4,3.087,1967,9
1967-11-15,1967-11-17,1.7,4.4,4.24,1967,11
1967-11-19,1967-11-24,2.8,2.8,5.265,1967,11
1967-12-14,1967-12-16,-4.4,0,2.757,1967,12
1968-02-09,1968-02-12,0.6,0.6,2.365,1968,2
1968-02-29,1968-03-02,15,12.2,5.787,1968,2
1968-05-18,1968-05-20,25.6,26.7,3.03,1968,5
1969-04-08,1969-04-10,14.4,15,0.89,1969,4
1969-06-14,1969-06-17,28.9,28.9,3.112,1969,6
1969-11-01,1969-11-03,13.3,9.4,7.347,1969,11
1969-11-29,1969-12-02,7.2,-2.8,4.395,1969,11
1969-12-29,1970-01-03,2.8,-2.2,7.69,1969,12
1970-06-01,1970-06-03,27.2,32.2,2.763,1970,6
1971-05-11,1971-05-13,28.3,25,5.72,1971,5
1971-06-18,1971-06-20,27.2,27.2,0.7,1971,6
1971-07-18,1971-07-20,30,28.3,0.863,1971,7
1971-07-31,1971-08-02,30.6,31.1,2.657,1971,7
1972-01-28,1972-01-30,-3.3,2.2,4.13,1972,1
1972-05-07,1972-05-09,22.2,23.9,1.693,1972,5
1972-05-27,1972-05-29,27.2,30,3.363,1972,5
1972-12-08,1972-12-10,-1.7,-1.7,2.13,1972,12
1973-05-01,1973-05-03,20.6,22.2,1.383,1973,5
1973-05-13,1973-05-15,25.6,27.2,3.857,1973,5
1974-09-21,1974-09-23,23.9,22.2,1.093,1974,9
1975-05-09,1975-05-11,23.3,25.6,2.82,1975,5
1975-07-01,1975-07-04,31.1,28.3,1.997,1975,7
1975-07-09,1975-07-12,30,28.9,2.07,1975,7
1975-09-19,1975-09-23,26.1,25,3.676,1975,9
1976-01-30,1976-02-02,6.1,0,6.745,1976,1
1976-02-06,1976-02-08,8.3,-0.6,4.623,1976,2
1976-04-27,1976-05-02,21.7,23.3,3.625,1976,4
1976-09-19,1976-09-21,25.6,23.3,3,1976,9
1976-09-24,1976-09-28,21.7,22.2,2.072,1976,9
1976-11-12,1976-11-17,1.7,2.2,2.412,1976,11
1977-01-21,1977-01-26,-3.6,8.2,7.997,1977,1
1977-02-07,1977-02-09,0,1.1,2.457,1977,2
1977-04-03,1977-04-05,16,16.3,3.7,1977,4
1977-04-22,1977-04-26,17.7,19.2,4.172,1977,4
1977-10-15,1977-10-17,18.4,17.2,2.463,1977,10
1978-02-19,1978-02-21,6.3,5.4,2.73,1978,2
1979-03-18,1979-03-20,9,12.3,2.357,1979,3
1979-07-16,1979-07-18,28.2,30,0.993,1979,7
1979-08-13,1979-08-17,28.5,29.3,2.23,1979,8
1979-11-10,1979-11-12,6.6,4.1,3.777,1979,11
1979-11-14,1979-11-18,0.9,3.7,3.096,1979,11
1979-11-20,1979-11-22,11.5,6.4,9.407,1979,11
1980-04-01,1980-04-03,12.1,14.8,2.233,1980,4
1980-04-14,1980-04-16,17.7,17.9,3.067,1980,4
1980-05-09,1980-05-15,22.4,23,1.776,1980,5
1980-11-26,1980-11-28,2,3,5.23,1980,11
1981-01-19,1981-01-24,10.7,4.7,8.27,1981,1
1981-03-08,1981-03-17,9.3,9.2,2.796,1981,3
1981-05-19,1981-05-21,23.4,26.4,1.267,1981,5
1981-05-24,1981-05-26,25.5,26.6,1.517,1981,5
1981-07-16,1981-07-18,32.1,32.9,5.027,1981,7
1981-08-06,1981-08-11,31,30,2.993,1981,8
1982-06-11,1982-06-13,28.6,28.8,2.263,1982,6
1982-06-18,1982-06-20,28.6,27.5,2.533,1982,6
1982-06-27,1982-07-01,27.8,29.5,1.836,1982,6
1982-09-14,1982-09-20,23.6,25.4,2.661,1982,9
1982-10-10,1982-10-13,19.2,19.8,1.81,1982,10
1983-05-28,1983-05-31,28.7,28.2,4.72,1983,5
1983-06-27,1983-06-29,27.8,29.7,1.493,1983,6
1984-03-29,1984-04-02,12.2,12.6,1.46,1984,3
1985-01-02,1985-01-06,3.6,3.3,6.704,1985,1
1985-05-18,1985-05-20,26.8,24.2,2.03,1985,5
1985-07-29,1985-07-31,29.5,33,2.323,1985,7
