"yrmon","max_3day","max_5day"
195902,55.6,72.4
195903,56.9,81.2
195904,26.8,38.2
195905,29,29.3
195906,41.4,49.2
195907,16,21.1
195908,21.1,22.6
195909,65.3,65.6
195910,21.9,36.8
195911,65.6,78.8
195912,61,86.4
196001,53.4,73.4
196002,46.7,60.2
196003,31.5,46.8
196004,19.6,19.6
196005,28,28.8
196006,11.2,11.2
196007,1,1
196008,25.2,27.5
196009,15,16
196010,71.9,89.2
196011,41.9,52.3
196012,81.3,82.8
196101,65,80
196102,53.6,80.6
196103,42.4,55.1
196104,19.5,41.7
196105,34.1,42
196106,11.7,17.3
196107,37.3,37.3
196108,50,50
196109,22.4,27.5
196110,34,60.7
196111,55.7,61.3
196112,49.8,80.8
196201,59.2,76.5
196202,35.6,38.1
196203,29,43.3
196204,31.1,43
196205,15.7,17.2
196206,15.7,15.7
196207,13.7,40.9
196208,42.4,50.5
196209,29.8,40.7
196210,56.6,67.8
196211,51.1,54.1
196212,79.7,96.2
196301,31.5,57.2
196302,48.6,61.5
196303,29,40.9
196304,26.6,36.3
196305,27.4,45.4
196306,12,18.6
196307,37,37
196308,8.7,9
196309,17.8,24.2
196310,58.9,69.6
196311,54.4,57.4
196312,80.3,104.2
196401,66.1,87.2
196402,21.6,43.2
196403,27.1,38.2
196404,9.9,10.6
196405,14.7,29.2
196406,20.5,29.7
196407,35.8,40.9
196408,13.5,15.6
196409,45.3,58.8
196410,18.6,33.7
196411,75.9,89.8
196412,48.5,67.3
196501,46,65.8
196502,62.8,70.4
196503,35,44.2
196504,17.3,21.4
196505,24.4,34.6
196506,12.2,12.2
196507,4.8,15
196508,16.3,28.7
196509,9.7,9.7
196510,38.1,63.8
196511,49.3,54.9
196512,34.3,46.2
196601,43.2,62.5
196602,15.8,21.4
196603,25.6,35.7
196604,12.7,16
196605,16.8,16.8
196606,21.5,29.6
196607,29.3,37.5
196608,16,16
196609,40.6,40.6
196610,49,65
196611,71.9,101.6
196612,66.6,89.7
196701,58.5,65.1
196702,31.6,34.9
196703,40.4,42.2
196704,21.6,29
196705,17,18
196706,10.5,10.5
196707,18.2,18.2
196708,8.4,8.4
196709,37.6,57.2
196710,77.3,94.8
196711,51.8,64
196712,63.8,101.7
196801,114.8,119.4
196802,42.7,44.5
196803,50.4,57.5
196804,7.2,13.5
196805,30.3,30.3
196806,24.4,26.1
196807,19.4,22.4
196808,17,22.8
196809,43.9,56.6
196810,37.1,58.7
196811,39.2,58.5
196812,69.8,80.2
196901,43.7,60.7
196902,24.4,30.7
196903,27.2,33.3
196904,30.8,33.1
196905,20.5,20.5
196906,12.4,16
196907,12.7,13.2
196908,18.6,19.1
196909,59.7,73.4
196910,22.8,32
196911,33.4,45.8
196912,52,69.5
197001,33.7,49.2
197002,29.7,43.6
197003,23.9,35.8
197004,34.8,48.5
197005,8.6,8.6
197006,26.9,26.9
197007,20.8,32.7
197008,3.3,20
197009,26.4,35
197010,35,45.7
197011,25.4,40.6
197012,49.7,57.7
197101,47.2,79.5
197102,51.3,74.4
197103,42.2,54.4
197104,24.1,32.5
197105,13.2,20.3
197106,30.2,31.5
197107,23.1,31.7
197108,21,23.3
197109,49.3,52.1
197110,32.3,78.3
197111,54.4,61.7
197112,50.5,72.8
197201,29.2,35.8
197202,51.8,59.2
197203,39.3,62.1
197204,28,40.9
197205,10.4,11.1
197206,23.6,24.9
197207,67.8,81.3
197208,20.6,20.6
197209,48.2,55.5
197210,37.1,43.2
197211,32.8,55.4
197212,115.8,152.4
197301,56.5,88
197302,33,38.5
197303,29.3,34.4
197304,10,10.5
197305,23.9,23.9
197306,17.2,25.6
197307,5.8,7.8
197308,19.9,19.9
197309,12.2,16.6
197310,36.4,41.7
197311,51.3,64.6
197312,64,96.5
197401,55.8,69.7
197402,29.2,39.1
197403,68.1,76.3
197404,29,32.1
197405,48.2,50.5
197406,14.7,24.9
197407,32.7,33
197408,3.3,3.3
197409,23.7,23.7
197410,18.3,18.3
197411,60.3,84
197412,55.8,62.9
197501,38.8,47.5
197502,39.4,53.2
197503,42.9,51.5
197504,18.3,20.6
197505,20.6,20.6
197506,13.4,13.4
197507,4.9,4.9
197508,43.8,53.2
197509,0.3,16.5
197510,97,113.8
197511,55.1,77.2
197512,57.6,73.9
197601,44.4,59.8
197602,40.7,55.5
197603,58.6,72.6
197604,18,30.2
197605,31.7,32.2
197606,40.3,45.4
197607,12.3,12.3
197608,24.6,40.9
197609,28.9,28.9
197610,30.5,39.4
197611,18,22.9
197612,46.5,46.5
197701,42,55.1
197702,36.4,42.5
197703,25.5,32.2
197704,23.6,25.7
197705,32.4,37.8
197706,8.2,10.4
197707,14.4,14.4
197708,56.5,56.9
197709,38.8,53.9
197710,37.8,61.3
197711,49.7,74
197712,45,66.8
197801,40.4,52.1
197802,34.3,41.1
197803,30.6,35.1
197804,27.3,38.5
197805,44.2,55.8
197806,15.5,20.1
197807,6.8,6.8
