"yrmon","max_consec","Station","year","month"
194305,5,"Abbotsford",1943,5
194306,10,"Abbotsford",1943,6
194307,20,"Abbotsford",1943,7
194308,10,"Abbotsford",1943,8
194309,15,"Abbotsford",1943,9
194310,5,"Abbotsford",1943,10
194311,11,"Abbotsford",1943,11
194312,15,"Abbotsford",1943,12
194401,6,"Abbotsford",1944,1
194402,7,"Abbotsford",1944,2
194403,10,"Abbotsford",1944,3
194404,8,"Abbotsford",1944,4
194405,7,"Abbotsford",1944,5
194406,10,"Abbotsford",1944,6
194407,13,"Abbotsford",1944,7
194408,25,"Abbotsford",1944,8
194409,11,"Abbotsford",1944,9
194410,16,"Abbotsford",1944,10
194412,21,"Abbotsford",1944,12
194501,13,"Abbotsford",1945,1
194502,8,"Abbotsford",1945,2
194503,5,"Abbotsford",1945,3
194504,9,"Abbotsford",1945,4
194505,8,"Abbotsford",1945,5
194506,20,"Abbotsford",1945,6
194507,19,"Abbotsford",1945,7
194508,16,"Abbotsford",1945,8
194509,20,"Abbotsford",1945,9
194510,14,"Abbotsford",1945,10
194511,4,"Abbotsford",1945,11
194512,9,"Abbotsford",1945,12
194601,5,"Abbotsford",1946,1
194602,6,"Abbotsford",1946,2
194603,5,"Abbotsford",1946,3
194604,22,"Abbotsford",1946,4
194605,20,"Abbotsford",1946,5
194606,6,"Abbotsford",1946,6
194607,15,"Abbotsford",1946,7
194608,22,"Abbotsford",1946,8
194609,13,"Abbotsford",1946,9
194610,10,"Abbotsford",1946,10
194611,6,"Abbotsford",1946,11
194612,4,"Abbotsford",1946,12
194701,4,"Abbotsford",1947,1
194702,7,"Abbotsford",1947,2
194703,8,"Abbotsford",1947,3
194704,8,"Abbotsford",1947,4
194705,11,"Abbotsford",1947,5
194706,12,"Abbotsford",1947,6
194707,10,"Abbotsford",1947,7
194708,20,"Abbotsford",1947,8
194709,14,"Abbotsford",1947,9
194710,3,"Abbotsford",1947,10
194711,4,"Abbotsford",1947,11
194712,3,"Abbotsford",1947,12
194801,10,"Abbotsford",1948,1
194802,3,"Abbotsford",1948,2
194803,7,"Abbotsford",1948,3
194804,4,"Abbotsford",1948,4
194805,12,"Abbotsford",1948,5
194806,12,"Abbotsford",1948,6
194807,10,"Abbotsford",1948,7
194808,6,"Abbotsford",1948,8
194809,11,"Abbotsford",1948,9
194810,12,"Abbotsford",1948,10
194811,5,"Abbotsford",1948,11
194812,5,"Abbotsford",1948,12
194901,9,"Abbotsford",1949,1
194902,12,"Abbotsford",1949,2
194903,6,"Abbotsford",1949,3
194904,8,"Abbotsford",1949,4
194905,15,"Abbotsford",1949,5
194906,15,"Abbotsford",1949,6
194907,14,"Abbotsford",1949,7
194908,33,"Abbotsford",1949,8
194909,14,"Abbotsford",1949,9
194910,10,"Abbotsford",1949,10
194911,6,"Abbotsford",1949,11
194912,2,"Abbotsford",1949,12
195001,7,"Abbotsford",1950,1
195002,2,"Abbotsford",1950,2
195003,2,"Abbotsford",1950,3
195004,3,"Abbotsford",1950,4
195005,23,"Abbotsford",1950,5
195006,20,"Abbotsford",1950,6
195007,8,"Abbotsford",1950,7
195008,27,"Abbotsford",1950,8
195009,22,"Abbotsford",1950,9
195010,4,"Abbotsford",1950,10
195011,6,"Abbotsford",1950,11
195012,2,"Abbotsford",1950,12
195101,6,"Abbotsford",1951,1
195102,6,"Abbotsford",1951,2
195103,20,"Abbotsford",1951,3
195104,18,"Abbotsford",1951,4
195105,8,"Abbotsford",1951,5
195106,19,"Abbotsford",1951,6
195107,39,"Abbotsford",1951,7
195108,12,"Abbotsford",1951,8
195109,16,"Abbotsford",1951,9
195110,4,"Abbotsford",1951,10
195111,6,"Abbotsford",1951,11
195112,4,"Abbotsford",1951,12
195201,6,"Abbotsford",1952,1
195202,8,"Abbotsford",1952,2
195203,4,"Abbotsford",1952,3
195204,6,"Abbotsford",1952,4
195205,9,"Abbotsford",1952,5
195206,6,"Abbotsford",1952,6
195207,30,"Abbotsford",1952,7
195208,22,"Abbotsford",1952,8
195209,20,"Abbotsford",1952,9
195210,19,"Abbotsford",1952,10
195211,17,"Abbotsford",1952,11
195212,7,"Abbotsford",1952,12
195301,3,"Abbotsford",1953,1
195302,8,"Abbotsford",1953,2
195303,4,"Abbotsford",1953,3
195304,7,"Abbotsford",1953,4
195305,10,"Abbotsford",1953,5
195306,13,"Abbotsford",1953,6
195307,20,"Abbotsford",1953,7
195308,14,"Abbotsford",1953,8
195309,10,"Abbotsford",1953,9
195310,8,"Abbotsford",1953,10
195311,2,"Abbotsford",1953,11
195312,3,"Abbotsford",1953,12
195401,4,"Abbotsford",1954,1
195402,7,"Abbotsford",1954,2
195403,10,"Abbotsford",1954,3
195404,14,"Abbotsford",1954,4
195405,12,"Abbotsford",1954,5
195406,6,"Abbotsford",1954,6
195407,14,"Abbotsford",1954,7
195408,11,"Abbotsford",1954,8
195409,9,"Abbotsford",1954,9
195410,12,"Abbotsford",1954,10
195411,7,"Abbotsford",1954,11
195412,6,"Abbotsford",1954,12
195501,4,"Abbotsford",1955,1
195502,6,"Abbotsford",1955,2
195503,6,"Abbotsford",1955,3
195504,10,"Abbotsford",1955,4
195505,6,"Abbotsford",1955,5
195506,11,"Abbotsford",1955,6
195507,12,"Abbotsford",1955,7
195508,24,"Abbotsford",1955,8
195509,12,"Abbotsford",1955,9
195510,8,"Abbotsford",1955,10
195511,5,"Abbotsford",1955,11
195512,6,"Abbotsford",1955,12
195601,6,"Abbotsford",1956,1
195602,3,"Abbotsford",1956,2
195603,7,"Abbotsford",1956,3
195604,23,"Abbotsford",1956,4
195605,20,"Abbotsford",1956,5
195606,7,"Abbotsford",1956,6
195607,26,"Abbotsford",1956,7
195608,12,"Abbotsford",1956,8
195609,8,"Abbotsford",1956,9
195610,7,"Abbotsford",1956,10
195611,15,"Abbotsford",1956,11
195612,6,"Abbotsford",1956,12
195701,18,"Abbotsford",1957,1
195702,11,"Abbotsford",1957,2
195703,4,"Abbotsford",1957,3
195704,7,"Abbotsford",1957,4
195705,18,"Abbotsford",1957,5
195706,9,"Abbotsford",1957,6
195707,6,"Abbotsford",1957,7
195708,12,"Abbotsford",1957,8
195709,9,"Abbotsford",1957,9
195710,11,"Abbotsford",1957,10
195711,9,"Abbotsford",1957,11
195712,3,"Abbotsford",1957,12
195801,4,"Abbotsford",1958,1
195802,6,"Abbotsford",1958,2
195803,9,"Abbotsford",1958,3
195804,6,"Abbotsford",1958,4
195805,16,"Abbotsford",1958,5
195806,40,"Abbotsford",1958,6
195807,36,"Abbotsford",1958,7
195808,21,"Abbotsford",1958,8
195809,12,"Abbotsford",1958,9
195810,8,"Abbotsford",1958,10
195811,5,"Abbotsford",1958,11
195812,4,"Abbotsford",1958,12
195901,4,"Abbotsford",1959,1
195902,4,"Abbotsford",1959,2
195903,3,"Abbotsford",1959,3
195904,8,"Abbotsford",1959,4
195905,7,"Abbotsford",1959,5
195906,11,"Abbotsford",1959,6
195907,17,"Abbotsford",1959,7
195908,11,"Abbotsford",1959,8
195909,10,"Abbotsford",1959,9
195910,5,"Abbotsford",1959,10
195911,7,"Abbotsford",1959,11
195912,4,"Abbotsford",1959,12
196001,6,"Abbotsford",1960,1
196002,11,"Abbotsford",1960,2
196003,9,"Abbotsford",1960,3
196004,7,"Abbotsford",1960,4
196005,5,"Abbotsford",1960,5
196006,38,"Abbotsford",1960,6
196007,33,"Abbotsford",1960,7
196008,10,"Abbotsford",1960,8
196009,13,"Abbotsford",1960,9
196010,5,"Abbotsford",1960,10
196011,6,"Abbotsford",1960,11
196012,6,"Abbotsford",1960,12
196101,13,"Abbotsford",1961,1
196102,1,"Abbotsford",1961,2
196103,3,"Abbotsford",1961,3
196104,9,"Abbotsford",1961,4
196105,8,"Abbotsford",1961,5
196106,24,"Abbotsford",1961,6
196107,38,"Abbotsford",1961,7
196108,14,"Abbotsford",1961,8
196109,18,"Abbotsford",1961,9
196110,4,"Abbotsford",1961,10
196111,5,"Abbotsford",1961,11
196112,4,"Abbotsford",1961,12
196201,5,"Abbotsford",1962,1
196202,6,"Abbotsford",1962,2
196203,9,"Abbotsford",1962,3
196204,7,"Abbotsford",1962,4
196205,6,"Abbotsford",1962,5
196206,12,"Abbotsford",1962,6
196207,16,"Abbotsford",1962,7
196208,12,"Abbotsford",1962,8
196209,12,"Abbotsford",1962,9
196210,8,"Abbotsford",1962,10
196211,3,"Abbotsford",1962,11
196212,5,"Abbotsford",1962,12
196301,13,"Abbotsford",1963,1
196302,6,"Abbotsford",1963,2
196303,9,"Abbotsford",1963,3
196304,9,"Abbotsford",1963,4
196305,17,"Abbotsford",1963,5
196306,9,"Abbotsford",1963,6
196307,19,"Abbotsford",1963,7
196308,11,"Abbotsford",1963,8
196309,9,"Abbotsford",1963,9
196310,5,"Abbotsford",1963,10
196311,7,"Abbotsford",1963,11
196312,5,"Abbotsford",1963,12
196401,2,"Abbotsford",1964,1
196402,4,"Abbotsford",1964,2
196403,5,"Abbotsford",1964,3
196404,4,"Abbotsford",1964,4
196405,8,"Abbotsford",1964,5
196406,7,"Abbotsford",1964,6
196407,7,"Abbotsford",1964,7
196408,6,"Abbotsford",1964,8
196409,7,"Abbotsford",1964,9
196410,7,"Abbotsford",1964,10
196411,9,"Abbotsford",1964,11
196412,5,"Abbotsford",1964,12
196501,4,"Abbotsford",1965,1
196502,21,"Abbotsford",1965,2
196503,20,"Abbotsford",1965,3
196504,7,"Abbotsford",1965,4
196505,10,"Abbotsford",1965,5
196506,22,"Abbotsford",1965,6
196507,19,"Abbotsford",1965,7
196508,15,"Abbotsford",1965,8
196509,12,"Abbotsford",1965,9
196510,6,"Abbotsford",1965,10
196511,3,"Abbotsford",1965,11
196512,7,"Abbotsford",1965,12
196601,6,"Abbotsford",1966,1
196602,4,"Abbotsford",1966,2
196603,9,"Abbotsford",1966,3
196604,10,"Abbotsford",1966,4
196605,5,"Abbotsford",1966,5
196606,7,"Abbotsford",1966,6
196607,17,"Abbotsford",1966,7
196608,13,"Abbotsford",1966,8
196609,9,"Abbotsford",1966,9
196610,6,"Abbotsford",1966,10
196611,4,"Abbotsford",1966,11
196612,4,"Abbotsford",1966,12
196701,3,"Abbotsford",1967,1
196702,7,"Abbotsford",1967,2
196703,6,"Abbotsford",1967,3
196704,9,"Abbotsford",1967,4
196705,13,"Abbotsford",1967,5
196706,10,"Abbotsford",1967,6
196707,16,"Abbotsford",1967,7
196708,13,"Abbotsford",1967,8
196709,10,"Abbotsford",1967,9
196710,2,"Abbotsford",1967,10
196711,7,"Abbotsford",1967,11
196712,10,"Abbotsford",1967,12
196801,4,"Abbotsford",1968,1
196802,13,"Abbotsford",1968,2
196803,6,"Abbotsford",1968,3
196804,5,"Abbotsford",1968,4
196805,6,"Abbotsford",1968,5
196806,12,"Abbotsford",1968,6
196807,25,"Abbotsford",1968,7
196808,13,"Abbotsford",1968,8
196809,10,"Abbotsford",1968,9
196810,3,"Abbotsford",1968,10
196811,4,"Abbotsford",1968,11
196812,4,"Abbotsford",1968,12
196901,7,"Abbotsford",1969,1
196902,9,"Abbotsford",1969,2
196903,8,"Abbotsford",1969,3
196904,4,"Abbotsford",1969,4
196905,24,"Abbotsford",1969,5
196906,22,"Abbotsford",1969,6
196907,23,"Abbotsford",1969,7
196908,7,"Abbotsford",1969,8
196909,7,"Abbotsford",1969,9
196910,9,"Abbotsford",1969,10
196911,9,"Abbotsford",1969,11
196912,3,"Abbotsford",1969,12
197001,4,"Abbotsford",1970,1
197002,15,"Abbotsford",1970,2
197003,11,"Abbotsford",1970,3
197004,8,"Abbotsford",1970,4
197005,11,"Abbotsford",1970,5
197006,24,"Abbotsford",1970,6
197007,23,"Abbotsford",1970,7
197008,15,"Abbotsford",1970,8
197009,11,"Abbotsford",1970,9
197010,12,"Abbotsford",1970,10
197011,6,"Abbotsford",1970,11
197012,2,"Abbotsford",1970,12
197101,5,"Abbotsford",1971,1
197102,4,"Abbotsford",1971,2
197103,7,"Abbotsford",1971,3
197104,12,"Abbotsford",1971,4
197105,11,"Abbotsford",1971,5
197106,6,"Abbotsford",1971,6
197107,40,"Abbotsford",1971,7
197108,20,"Abbotsford",1971,8
197109,12,"Abbotsford",1971,9
197110,7,"Abbotsford",1971,10
197111,2,"Abbotsford",1971,11
197112,4,"Abbotsford",1971,12
197201,7,"Abbotsford",1972,1
197202,4,"Abbotsford",1972,2
197203,6,"Abbotsford",1972,3
197204,5,"Abbotsford",1972,4
197205,14,"Abbotsford",1972,5
197206,10,"Abbotsford",1972,6
197207,34,"Abbotsford",1972,7
197208,15,"Abbotsford",1972,8
197209,6,"Abbotsford",1972,9
197210,10,"Abbotsford",1972,10
197211,7,"Abbotsford",1972,11
197212,9,"Abbotsford",1972,12
197301,9,"Abbotsford",1973,1
197302,7,"Abbotsford",1973,2
197303,4,"Abbotsford",1973,3
197304,11,"Abbotsford",1973,4
197305,12,"Abbotsford",1973,5
197306,9,"Abbotsford",1973,6
197307,16,"Abbotsford",1973,7
197308,11,"Abbotsford",1973,8
197309,11,"Abbotsford",1973,9
197310,3,"Abbotsford",1973,10
197311,3,"Abbotsford",1973,11
197312,14,"Abbotsford",1973,12
197401,11,"Abbotsford",1974,1
197402,7,"Abbotsford",1974,2
197403,8,"Abbotsford",1974,3
197404,3,"Abbotsford",1974,4
197405,7,"Abbotsford",1974,5
197406,20,"Abbotsford",1974,6
197407,36,"Abbotsford",1974,7
197408,22,"Abbotsford",1974,8
197409,16,"Abbotsford",1974,9
197410,9,"Abbotsford",1974,10
197411,6,"Abbotsford",1974,11
197412,2,"Abbotsford",1974,12
197501,10,"Abbotsford",1975,1
197502,6,"Abbotsford",1975,2
197503,6,"Abbotsford",1975,3
197504,15,"Abbotsford",1975,4
197505,10,"Abbotsford",1975,5
197506,18,"Abbotsford",1975,6
197507,15,"Abbotsford",1975,7
197508,16,"Abbotsford",1975,8
197509,15,"Abbotsford",1975,9
197510,2,"Abbotsford",1975,10
197511,4,"Abbotsford",1975,11
197512,6,"Abbotsford",1975,12
197601,12,"Abbotsford",1976,1
197602,9,"Abbotsford",1976,2
197603,9,"Abbotsford",1976,3
197604,7,"Abbotsford",1976,4
197605,6,"Abbotsford",1976,5
197606,9,"Abbotsford",1976,6
197607,11,"Abbotsford",1976,7
197608,7,"Abbotsford",1976,8
197609,17,"Abbotsford",1976,9
197610,13,"Abbotsford",1976,10
197611,11,"Abbotsford",1976,11
197612,6,"Abbotsford",1976,12
197701,12,"Abbotsford",1977,1
197702,7,"Abbotsford",1977,2
197703,4,"Abbotsford",1977,3
197704,7,"Abbotsford",1977,4
197705,5,"Abbotsford",1977,5
197706,16,"Abbotsford",1977,6
197707,32,"Abbotsford",1977,7
197708,22,"Abbotsford",1977,8
197709,9,"Abbotsford",1977,9
197710,4,"Abbotsford",1977,10
197711,6,"Abbotsford",1977,11
197712,9,"Abbotsford",1977,12
197801,6,"Abbotsford",1978,1
197802,10,"Abbotsford",1978,2
197803,8,"Abbotsford",1978,3
197804,4,"Abbotsford",1978,4
197805,10,"Abbotsford",1978,5
197806,30,"Abbotsford",1978,6
197807,25,"Abbotsford",1978,7
197808,9,"Abbotsford",1978,8
197809,4,"Abbotsford",1978,9
197810,10,"Abbotsford",1978,10
197811,6,"Abbotsford",1978,11
197812,13,"Abbotsford",1978,12
197901,9,"Abbotsford",1979,1
197902,3,"Abbotsford",1979,2
197903,8,"Abbotsford",1979,3
197904,12,"Abbotsford",1979,4
197905,8,"Abbotsford",1979,5
197906,10,"Abbotsford",1979,6
197907,36,"Abbotsford",1979,7
197908,16,"Abbotsford",1979,8
197909,16,"Abbotsford",1979,9
197910,12,"Abbotsford",1979,10
197911,9,"Abbotsford",1979,11
197912,4,"Abbotsford",1979,12
198001,14,"Abbotsford",1980,1
198002,8,"Abbotsford",1980,2
198003,4,"Abbotsford",1980,3
198004,5,"Abbotsford",1980,4
198005,6,"Abbotsford",1980,5
198006,7,"Abbotsford",1980,6
198007,13,"Abbotsford",1980,7
198008,14,"Abbotsford",1980,8
198009,8,"Abbotsford",1980,9
198010,7,"Abbotsford",1980,10
198011,4,"Abbotsford",1980,11
198012,5,"Abbotsford",1980,12
198101,8,"Abbotsford",1981,1
198102,10,"Abbotsford",1981,2
198103,7,"Abbotsford",1981,3
198104,4,"Abbotsford",1981,4
198105,6,"Abbotsford",1981,5
198106,5,"Abbotsford",1981,6
198107,25,"Abbotsford",1981,7
198108,24,"Abbotsford",1981,8
198109,8,"Abbotsford",1981,9
198110,9,"Abbotsford",1981,10
198111,7,"Abbotsford",1981,11
198112,3,"Abbotsford",1981,12
198201,3,"Abbotsford",1982,1
198202,9,"Abbotsford",1982,2
198203,11,"Abbotsford",1982,3
198204,9,"Abbotsford",1982,4
198205,7,"Abbotsford",1982,5
198206,19,"Abbotsford",1982,6
198207,9,"Abbotsford",1982,7
198208,16,"Abbotsford",1982,8
198209,12,"Abbotsford",1982,9
198210,8,"Abbotsford",1982,10
198211,5,"Abbotsford",1982,11
198212,8,"Abbotsford",1982,12
198301,6,"Abbotsford",1983,1
198302,5,"Abbotsford",1983,2
198303,7,"Abbotsford",1983,3
198304,8,"Abbotsford",1983,4
198305,17,"Abbotsford",1983,5
198306,6,"Abbotsford",1983,6
198307,7,"Abbotsford",1983,7
198308,18,"Abbotsford",1983,8
198309,7,"Abbotsford",1983,9
198310,13,"Abbotsford",1983,10
198311,9,"Abbotsford",1983,11
198312,10,"Abbotsford",1983,12
198401,9,"Abbotsford",1984,1
198402,5,"Abbotsford",1984,2
198403,6,"Abbotsford",1984,3
198404,6,"Abbotsford",1984,4
198405,3,"Abbotsford",1984,5
198406,16,"Abbotsford",1984,6
198407,18,"Abbotsford",1984,7
198408,20,"Abbotsford",1984,8
198409,11,"Abbotsford",1984,9
198410,8,"Abbotsford",1984,10
198411,3,"Abbotsford",1984,11
198412,14,"Abbotsford",1984,12
198501,13,"Abbotsford",1985,1
198502,4,"Abbotsford",1985,2
198503,14,"Abbotsford",1985,3
198504,5,"Abbotsford",1985,4
198505,8,"Abbotsford",1985,5
198506,45,"Abbotsford",1985,6
198507,29,"Abbotsford",1985,7
198508,25,"Abbotsford",1985,8
198509,13,"Abbotsford",1985,9
198510,3,"Abbotsford",1985,10
198511,5,"Abbotsford",1985,11
198512,13,"Abbotsford",1985,12
198601,4,"Abbotsford",1986,1
198602,9,"Abbotsford",1986,2
198603,4,"Abbotsford",1986,3
198604,4,"Abbotsford",1986,4
198605,12,"Abbotsford",1986,5
198606,8,"Abbotsford",1986,6
198607,43,"Abbotsford",1986,7
198608,38,"Abbotsford",1986,8
198609,9,"Abbotsford",1986,9
198610,24,"Abbotsford",1986,10
198611,4,"Abbotsford",1986,11
198612,5,"Abbotsford",1986,12
198701,5,"Abbotsford",1987,1
198702,4,"Abbotsford",1987,2
198703,8,"Abbotsford",1987,3
198704,11,"Abbotsford",1987,4
198705,9,"Abbotsford",1987,5
198706,10,"Abbotsford",1987,6
198707,11,"Abbotsford",1987,7
198708,17,"Abbotsford",1987,8
198709,17,"Abbotsford",1987,9
198710,21,"Abbotsford",1987,10
198711,6,"Abbotsford",1987,11
198712,8,"Abbotsford",1987,12
198801,7,"Abbotsford",1988,1
198802,9,"Abbotsford",1988,2
198803,11,"Abbotsford",1988,3
198804,9,"Abbotsford",1988,4
198805,5,"Abbotsford",1988,5
198806,6,"Abbotsford",1988,6
198807,18,"Abbotsford",1988,7
198808,17,"Abbotsford",1988,8
198809,7,"Abbotsford",1988,9
198810,7,"Abbotsford",1988,10
198811,4,"Abbotsford",1988,11
198812,5,"Abbotsford",1988,12
198901,16,"Abbotsford",1989,1
198902,15,"Abbotsford",1989,2
198903,3,"Abbotsford",1989,3
198904,12,"Abbotsford",1989,4
198905,15,"Abbotsford",1989,5
198906,12,"Abbotsford",1989,6
198907,14,"Abbotsford",1989,7
198908,25,"Abbotsford",1989,8
198909,15,"Abbotsford",1989,9
198910,9,"Abbotsford",1989,10
198911,4,"Abbotsford",1989,11
198912,10,"Abbotsford",1989,12
199001,5,"Abbotsford",1990,1
199002,7,"Abbotsford",1990,2
199003,21,"Abbotsford",1990,3
199004,10,"Abbotsford",1990,4
199005,8,"Abbotsford",1990,5
199006,19,"Abbotsford",1990,6
199007,21,"Abbotsford",1990,7
199008,16,"Abbotsford",1990,8
199009,14,"Abbotsford",1990,9
199010,3,"Abbotsford",1990,10
199011,2,"Abbotsford",1990,11
199012,4,"Abbotsford",1990,12
199101,9,"Abbotsford",1991,1
199102,9,"Abbotsford",1991,2
199103,4,"Abbotsford",1991,3
199104,13,"Abbotsford",1991,4
199105,6,"Abbotsford",1991,5
199106,12,"Abbotsford",1991,6
199107,13,"Abbotsford",1991,7
199108,13,"Abbotsford",1991,8
199109,32,"Abbotsford",1991,9
199110,15,"Abbotsford",1991,10
199111,2,"Abbotsford",1991,11
199112,5,"Abbotsford",1991,12
199201,4,"Abbotsford",1992,1
199202,6,"Abbotsford",1992,2
199203,9,"Abbotsford",1992,3
199204,5,"Abbotsford",1992,4
199205,14,"Abbotsford",1992,5
199206,14,"Abbotsford",1992,6
199207,14,"Abbotsford",1992,7
199208,11,"Abbotsford",1992,8
199209,7,"Abbotsford",1992,9
199210,8,"Abbotsford",1992,10
199211,3,"Abbotsford",1992,11
199212,15,"Abbotsford",1992,12
199301,14,"Abbotsford",1993,1
199302,8,"Abbotsford",1993,2
199303,8,"Abbotsford",1993,3
199304,2,"Abbotsford",1993,4
199305,8,"Abbotsford",1993,5
199306,12,"Abbotsford",1993,6
199307,11,"Abbotsford",1993,7
199308,14,"Abbotsford",1993,8
199309,12,"Abbotsford",1993,9
199310,6,"Abbotsford",1993,10
199311,7,"Abbotsford",1993,11
199312,11,"Abbotsford",1993,12
199401,13,"Abbotsford",1994,1
199402,8,"Abbotsford",1994,2
199403,12,"Abbotsford",1994,3
199404,3,"Abbotsford",1994,4
199405,11,"Abbotsford",1994,5
199406,6,"Abbotsford",1994,6
199407,20,"Abbotsford",1994,7
199408,19,"Abbotsford",1994,8
199409,15,"Abbotsford",1994,9
199410,8,"Abbotsford",1994,10
199411,3,"Abbotsford",1994,11
199412,9,"Abbotsford",1994,12
199501,7,"Abbotsford",1995,1
199502,7,"Abbotsford",1995,2
199503,6,"Abbotsford",1995,3
199504,11,"Abbotsford",1995,4
199505,24,"Abbotsford",1995,5
199506,11,"Abbotsford",1995,6
199507,12,"Abbotsford",1995,7
199508,7,"Abbotsford",1995,8
199509,20,"Abbotsford",1995,9
199510,9,"Abbotsford",1995,10
199511,3,"Abbotsford",1995,11
199512,7,"Abbotsford",1995,12
199601,9,"Abbotsford",1996,1
199602,9,"Abbotsford",1996,2
199603,5,"Abbotsford",1996,3
199604,4,"Abbotsford",1996,4
199605,9,"Abbotsford",1996,5
199606,12,"Abbotsford",1996,6
199607,12,"Abbotsford",1996,7
199608,24,"Abbotsford",1996,8
199609,10,"Abbotsford",1996,9
199610,5,"Abbotsford",1996,10
199611,3,"Abbotsford",1996,11
199612,3,"Abbotsford",1996,12
199701,6,"Abbotsford",1997,1
199702,8,"Abbotsford",1997,2
199703,3,"Abbotsford",1997,3
199704,9,"Abbotsford",1997,4
199705,13,"Abbotsford",1997,5
199706,9,"Abbotsford",1997,6
199707,18,"Abbotsford",1997,7
199708,13,"Abbotsford",1997,8
199709,9,"Abbotsford",1997,9
199710,4,"Abbotsford",1997,10
199711,10,"Abbotsford",1997,11
199712,6,"Abbotsford",1997,12
199801,4,"Abbotsford",1998,1
199802,2,"Abbotsford",1998,2
199803,5,"Abbotsford",1998,3
199804,18,"Abbotsford",1998,4
199805,13,"Abbotsford",1998,5
199806,6,"Abbotsford",1998,6
199807,31,"Abbotsford",1998,7
199808,30,"Abbotsford",1998,8
199809,16,"Abbotsford",1998,9
199810,9,"Abbotsford",1998,10
199811,6,"Abbotsford",1998,11
199812,3,"Abbotsford",1998,12
199901,5,"Abbotsford",1999,1
199902,2,"Abbotsford",1999,2
199903,5,"Abbotsford",1999,3
199904,5,"Abbotsford",1999,4
199905,5,"Abbotsford",1999,5
199906,6,"Abbotsford",1999,6
199907,16,"Abbotsford",1999,7
199908,5,"Abbotsford",1999,8
199909,17,"Abbotsford",1999,9
199910,9,"Abbotsford",1999,10
199911,2,"Abbotsford",1999,11
199912,9,"Abbotsford",1999,12
200001,3,"Abbotsford",2000,1
200002,12,"Abbotsford",2000,2
200003,6,"Abbotsford",2000,3
200004,6,"Abbotsford",2000,4
200005,6,"Abbotsford",2000,5
200006,13,"Abbotsford",2000,6
200007,20,"Abbotsford",2000,7
200008,17,"Abbotsford",2000,8
200009,9,"Abbotsford",2000,9
200010,7,"Abbotsford",2000,10
200011,14,"Abbotsford",2000,11
200012,5,"Abbotsford",2000,12
200101,4,"Abbotsford",2001,1
200102,6,"Abbotsford",2001,2
200103,5,"Abbotsford",2001,3
200104,4,"Abbotsford",2001,4
200105,11,"Abbotsford",2001,5
200106,16,"Abbotsford",2001,6
200107,14,"Abbotsford",2001,7
200108,14,"Abbotsford",2001,8
