"diffw90","year","month","yrmon"
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0.8,1937,10,193710
0.6,1937,10,193710
0,1937,10,193710
1.1,1937,10,193710
0,1937,10,193710
0.6,1937,10,193710
2.2,1937,10,193710
2.29,1937,10,193710
0,1937,10,193710
0,1937,10,193710
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0.2,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0.3,1937,11,193711
0.5,1937,11,193711
1.7,1937,11,193711
0,1937,11,193711
1.2,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,11,193711
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0.5,1937,12,193712
0.59,1937,12,193712
0.59,1937,12,193712
2.3,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1937,12,193712
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0.6,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,1,193801
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0,1938,2,193802
0.38,1938,2,193802
0,1938,3,193803
0,1938,3,193803
0.59,1938,3,193803
1.1,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
1.39,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,3,193803
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
1.7,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,4,193804
1.6,1938,4,193804
0,1938,4,193804
0,1938,4,193804
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0.28,1938,5,193805
1.7,1938,5,193805
2.8,1938,5,193805
1.1,1938,5,193805
1.7,1938,5,193805
2.2,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,5,193805
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
2.6,1938,6,193806
0,1938,6,193806
3.4,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0.5,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,6,193806
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0.19,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
2.8,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,7,193807
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0.3,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,8,193808
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
0,1938,9,193809
4,1938,9,193809
0,1938,9,193809
0,1938,9,193809
1.6,1938,9,193809
0,1938,9,193809
0,1938,9,193809
