"avgexc","nexc","year","month"
0.38,1,1959,2
0,0,1959,3
1.62,5,1959,4
2.663,3,1959,5
2.4,3,1959,6
1.495,4,1959,7
0,0,1959,8
0,0,1959,9
0,0,1959,10
2.3,2,1959,11
0.885,2,1959,12
0.872,4,1960,1
0.995,2,1960,2
3.997,3,1960,3
2.565,6,1960,4
2.8,1,1960,5
0,0,1960,6
1.923,9,1960,7
4.467,3,1960,8
0.7,1,1960,9
1.25,2,1960,10
0,0,1960,11
1.695,2,1960,12
1.459,8,1961,1
1.945,2,1961,2
0.936,5,1961,3
0,0,1961,4
2.723,3,1961,5
1.175,8,1961,6
2.972,5,1961,7
1.01,6,1961,8
1.1,1,1961,9
2,4,1961,10
0.5,1,1961,11
1.133,3,1961,12
0.542,4,1962,1
2.35,4,1962,2
1.7,1,1962,3
1.993,6,1962,4
0,0,1962,5
1.525,4,1962,6
0.49,1,1962,7
0,0,1962,8
0.95,2,1962,9
2.278,5,1962,10
1.536,5,1962,11
1.233,6,1962,12
0.6,2,1963,1
1.389,11,1963,2
2.8,1,1963,3
1.067,3,1963,4
3.495,6,1963,5
1.647,3,1963,6
0,0,1963,7
1.7,1,1963,8
1.27,8,1963,9
2.443,6,1963,10
0.99,2,1963,11
1.95,6,1963,12
0.39,2,1964,1
0.98,1,1964,2
2.45,2,1964,3
0,0,1964,4
0.6,1,1964,5
0,0,1964,6
0.595,2,1964,7
1.257,3,1964,8
0,0,1964,9
1.67,4,1964,10
0.5,1,1964,11
1.1,2,1964,12
0,0,1965,1
2.15,2,1965,2
0.8,2,1965,3
0.79,2,1965,4
0,0,1965,5
0.8,1,1965,6
2.269,7,1965,7
1.95,2,1965,8
0,0,1965,9
1.816,5,1965,10
1.09,2,1965,11
1.592,4,1965,12
0.595,2,1966,1
1.35,2,1966,2
2.172,4,1966,3
1.695,4,1966,4
2.59,2,1966,5
0.7,1,1966,6
0,0,1966,7
1.463,3,1966,8
1.09,1,1966,9
1.145,2,1966,10
1.5,2,1966,11
1.092,6,1966,12
0.895,2,1967,1
0,0,1967,2
1.7,1,1967,3
0,0,1967,4
1.495,2,1967,5
1.928,5,1967,6
1.742,4,1967,7
2.054,13,1967,8
1.576,8,1967,9
0.4,4,1967,10
0,0,1967,11
1.35,2,1967,12
1.527,9,1968,1
1.516,8,1968,2
1,4,1968,3
1,2,1968,4
1.292,5,1968,5
0,0,1968,6
1.17,6,1968,7
0.47,1,1968,8
0,0,1968,9
1.698,4,1968,10
2.633,3,1968,11
0,0,1968,12
0,0,1969,1
0,0,1969,2
2.197,3,1969,3
0,0,1969,4
2.114,5,1969,5
3.004,9,1969,6
1.1,1,1969,7
0,0,1969,8
0.495,2,1969,9
1.697,3,1969,10
0.845,2,1969,11
1.023,3,1969,12
1.357,3,1970,1
0.19,1,1970,2
1.99,1,1970,3
0,0,1970,4
1.895,2,1970,5
4.58,5,1970,6
1.074,5,1970,7
0.18,1,1970,8
0.99,1,1970,9
1.7,1,1970,10
0.3,1,1970,11
0,0,1970,12
0.945,2,1971,1
1.09,1,1971,2
0,0,1971,3
2.295,2,1971,4
1.24,2,1971,5
0,0,1971,6
2.885,4,1971,7
1.367,4,1971,8
0,0,1971,9
0.8,2,1971,10
0.8,2,1971,11
0,0,1971,12
0,0,1972,1
1.29,1,1972,2
1.097,6,1972,3
0,0,1972,4
1.275,4,1972,5
0.6,1,1972,6
2.497,3,1972,7
0.85,2,1972,8
1.5,2,1972,9
0,0,1972,10
0,0,1972,11
0.753,3,1972,12
1.033,3,1973,1
1.8,2,1973,2
0,0,1973,3
0.6,2,1973,4
2.143,7,1973,5
1.4,2,1973,6
1.345,2,1973,7
0,0,1973,8
2.162,4,1973,9
0,0,1973,10
0.5,1,1973,11
0.895,2,1973,12
1.2,3,1974,1
0,0,1974,2
0.4,1,1974,3
0.59,1,1974,4
0,0,1974,5
0,0,1974,6
0.39,1,1974,7
2.56,3,1974,8
2.088,10,1974,9
1.578,5,1974,10
1.8,1,1974,11
0.57,5,1974,12
1.7,1,1975,1
0,0,1975,2
2.2,1,1975,3
0,0,1975,4
3.1,2,1975,5
2.75,2,1975,6
1.199,8,1975,7
0,0,1975,8
0.42,2,1975,9
2.18,1,1975,10
1.078,5,1975,11
2.04,4,1975,12
1.39,2,1976,1
0,0,1976,2
0,0,1976,3
4,4,1976,4
2.25,2,1976,5
0,0,1976,6
0,0,1976,7
0,0,1976,8
1.117,3,1976,9
1.4,1,1976,10
1.633,3,1976,11
1.5,5,1976,12
0.83,3,1977,1
1.208,9,1977,2
0,0,1977,3
2.771,8,1977,4
0,0,1977,5
1.773,3,1977,6
0,0,1977,7
1.987,8,1977,8
0,0,1977,9
0.933,3,1977,10
0.4,1,1977,11
1.545,2,1977,12
0,0,1978,1
0.83,6,1978,2
1.095,2,1978,3
1.5,2,1978,4
1.4,1,1978,5
1.96,5,1978,6
1.459,8,1978,7
1.847,4,1978,8
0.9,1,1978,9
2.075,4,1978,10
0,0,1978,11
0,0,1978,12
0,0,1979,1
0,0,1979,2
1.376,5,1979,3
1.12,4,1979,4
0.495,2,1979,5
1,6,1979,6
1.79,5,1979,7
0.4,1,1979,8
1.447,4,1979,9
1.09,1,1979,10
0,0,1979,11
0.79,7,1979,12
0.1,1,1980,1
0.733,7,1980,2
0,0,1980,3
1.284,7,1980,4
2.027,3,1980,5
0,0,1980,6
0,0,1980,7
0,0,1980,8
0.2,1,1980,9
2.438,5,1980,10
1.9,4,1980,11
1.899,10,1980,12
2.619,7,1981,1
1.23,3,1981,2
1.308,9,1981,3
1.463,3,1981,4
0,0,1981,5
0,0,1981,6
0,0,1981,7
1.554,5,1981,8
2.812,5,1981,9
0.3,1,1981,10
1.482,6,1981,11
0.46,3,1981,12
0,0,1982,1
0.54,2,1982,2
1.3,1,1982,3
1.9,2,1982,4
3,1,1982,5
1.493,9,1982,6
0.845,2,1982,7
1.55,2,1982,8
0.4,3,1982,9
1.3,3,1982,10
0,0,1982,11
1.685,2,1982,12
0.812,10,1983,1
1.438,5,1983,2
1.036,8,1983,3
1.32,4,1983,4
3.382,6,1983,5
1.3,1,1983,6
0,0,1983,7
0,0,1983,8
2.09,1,1983,9
0,0,1983,10
0.978,5,1983,11
