"begin","end","starttemp","endtemp","avgexc","year","month"
1950-07-03,1950-07-05,24.4,25,0.43,1950,7
1950-08-18,1950-08-21,25.6,25,1.098,1950,8
1950-11-24,1950-11-27,11.7,11.1,1.445,1950,11
1950-12-19,1950-12-24,10.6,12.2,1.295,1950,12
1951-06-28,1951-06-30,25.6,25,2.3,1951,6
1951-07-10,1951-07-12,26.7,30,3.73,1951,7
1951-09-14,1951-09-16,23.9,23.9,2.523,1951,9
1951-10-07,1951-10-10,18.3,17.8,0.97,1951,10
1952-04-16,1952-04-18,16.1,17.8,0.927,1952,4
1952-07-09,1952-07-11,25.6,26.1,0.797,1952,7
1952-09-21,1952-09-24,23.3,22.2,2.572,1952,9
1952-10-05,1952-10-07,18.9,18.9,0.627,1952,10
1952-10-19,1952-10-21,16.7,15.6,0.53,1952,10
1952-12-12,1952-12-14,12.8,10.6,2.093,1952,12
1953-05-03,1953-05-06,18.9,21.1,2.212,1953,5
1953-10-06,1953-10-08,20.6,19.4,1.463,1953,10
1953-11-10,1953-11-12,13.9,14.4,1.433,1953,11
1956-04-19,1956-04-21,16.7,20,1.967,1956,4
1956-04-24,1956-04-26,17.8,17.8,0.597,1956,4
1956-05-15,1956-05-19,21.1,23.3,2.514,1956,5
1956-07-18,1956-07-20,26.7,29.4,2.563,1956,7
1956-08-20,1956-08-22,25.6,29.4,2.197,1956,8
1957-05-03,1957-05-08,18.9,20,1.538,1957,5
1957-05-29,1957-05-31,22.8,22.8,1.233,1957,5
1957-09-13,1957-09-15,22.8,22.8,0.497,1957,9
1958-02-18,1958-02-21,14.4,12.8,1.623,1958,2
1958-05-17,1958-05-27,21.1,23.9,2.414,1958,5
1958-06-16,1958-06-23,25,26.1,2.517,1958,6
1958-07-02,1958-07-07,25,27.2,2.092,1958,7
1958-07-14,1958-07-17,26.1,27.2,2.367,1958,7
1958-07-27,1958-07-29,28.3,26.1,2.46,1958,7
1958-08-20,1958-08-22,25,25,0.53,1958,8
1958-11-29,1958-12-03,11.7,11.7,1.732,1958,11
1959-01-08,1959-01-11,11.7,10.6,1.167,1959,1
1959-04-08,1959-04-10,15.6,18.9,2.4,1959,4
1960-01-28,1960-02-01,10.6,11.7,0.876,1960,1
1960-07-15,1960-07-18,27.2,25.6,1.44,1960,7
1960-08-07,1960-08-09,26.7,33.3,4.467,1960,8
1961-01-09,1961-01-11,10,12.2,1.593,1961,1
1961-05-17,1961-05-19,21.1,25.6,2.723,1961,5
1961-06-01,1961-06-03,23.3,23.9,1.667,1961,6
1961-07-11,1961-07-13,26.1,31.7,4.497,1961,7
1961-10-13,1961-10-15,21.7,18.9,2.5,1961,10
1962-04-17,1962-04-19,17.8,17.2,3.16,1962,4
1962-06-23,1962-06-25,25.6,25,1.867,1962,6
1962-12-14,1962-12-16,13.3,10.6,1.9,1962,12
1962-12-30,1963-01-02,10,10,0.6,1962,12
1963-02-03,1963-02-08,13.3,14.4,1.765,1963,2
1963-05-18,1963-05-21,23.9,28.9,4.617,1963,5
1963-12-22,1963-12-24,10.6,13.3,1.867,1963,12
1963-12-30,1964-01-01,11.1,10,2.067,1963,12
1965-07-29,1965-08-01,27.8,27.8,2.842,1965,7
1966-03-28,1966-03-30,16.1,16.1,2.167,1966,3
1966-04-04,1966-04-07,15.6,17.2,1.695,1966,4
1966-12-16,1966-12-19,10.6,11.7,0.767,1966,12
1967-06-16,1967-06-19,23.9,27.8,1.71,1967,6
1967-08-09,1967-08-11,27.2,26.7,0.95,1967,8
1967-08-15,1967-08-17,27.2,27.8,2.59,1967,8
1967-08-26,1967-08-30,25.6,24.4,2.656,1967,8
1967-09-03,1967-09-05,25.6,23.9,1.197,1967,9
1968-01-13,1968-01-15,11.1,10.6,1.333,1968,1
1968-01-20,1968-01-24,14.4,10.6,1.788,1968,1
1968-02-27,1968-03-01,13.3,13.3,1.337,1968,2
1968-03-20,1968-03-22,13.9,15,0.967,1968,3
1968-05-17,1968-05-19,21.7,22.2,1.423,1968,5
1968-07-01,1968-07-03,25,25.6,1.657,1968,7
1968-10-27,1968-10-29,17.8,16.7,1.897,1968,10
1968-11-19,1968-11-21,15.6,12.2,2.633,1968,11
1969-06-14,1969-06-18,25,28.9,4.008,1969,6
1970-06-01,1970-06-03,28.3,26.7,6.333,1970,6
1971-08-08,1971-08-10,27.8,28.3,1.623,1971,8
1972-03-16,1972-03-18,16.7,13.9,1.567,1972,3
1972-07-03,1972-07-05,26.7,26.7,2.497,1972,7
1972-12-18,1972-12-20,11.1,10.6,0.753,1972,12
1973-05-12,1973-05-17,20.6,22.2,2.317,1973,5
1974-01-14,1974-01-16,11.1,11.1,1.2,1974,1
1974-08-28,1974-08-30,25.6,26.7,2.56,1974,8
1974-09-01,1974-09-03,25,25.6,2.1,1974,9
1974-09-20,1974-09-24,23.9,23.9,1.738,1974,9
1974-10-15,1974-10-19,19.4,16.7,1.578,1974,10
1975-07-04,1975-07-08,25,25.6,1.27,1975,7
1975-11-03,1975-11-05,15,13.9,1.43,1975,11
1976-04-28,1976-05-01,21.7,18.9,4,1976,4
1976-12-14,1976-12-17,11.7,11.1,1.725,1976,12
1977-01-17,1977-01-19,11.8,10.4,0.83,1977,1
1977-02-06,1977-02-08,12,12.5,0.83,1977,2
1977-02-18,1977-02-20,11.8,13.4,1.467,1977,2
1977-04-05,1977-04-07,16.4,22.7,4.593,1977,4
1977-04-22,1977-04-25,18,19.5,2.022,1977,4
1977-08-04,1977-08-06,27.6,26.7,1.657,1977,8
1978-06-02,1978-06-06,23,26.3,1.96,1978,6
1978-07-13,1978-07-15,26.6,25.2,1.167,1978,7
1978-07-20,1978-07-23,26.5,28.1,1.845,1978,7
1978-08-06,1978-08-09,26.7,27,1.847,1978,8
1979-04-26,1979-04-29,17.3,18.3,1.12,1979,4
1979-06-01,1979-06-03,22.4,23,1.167,1979,6
1979-07-16,1979-07-18,27,26,1.953,1979,7
1979-12-17,1979-12-20,11.1,10.5,0.84,1979,12
1980-02-26,1980-02-29,12.3,12,0.537,1980,2
1980-10-03,1980-10-06,23.5,20.5,2.922,1980,10
1980-12-24,1980-12-30,10.7,10.4,2.284,1980,12
1981-01-19,1981-01-22,11.2,14.7,4.012,1981,1
1981-03-20,1981-03-22,13.7,13.5,0.933,1981,3
1981-08-07,1981-08-10,27.3,27,1.392,1981,8
1982-06-17,1982-06-21,24.4,24.1,1.748,1982,6
1983-01-09,1983-01-12,10.2,10.8,1.22,1983,1
1983-03-09,1983-03-11,15.4,13,1.03,1983,3
1983-04-17,1983-04-19,16.2,19.1,1.293,1983,4
1983-05-27,1983-05-29,21.8,30.4,3.9,1983,5
1984-03-07,1984-03-09,14.7,15.2,1.957,1984,3
1984-07-23,1984-07-25,26.8,26.9,0.76,1984,7
1985-07-02,1985-07-04,27.5,26.4,2.697,1985,7
1985-07-07,1985-07-11,26.5,26.4,2.194,1985,7
1985-07-18,1985-07-22,27.4,26.1,1.438,1985,7
1986-02-24,1986-03-01,13.1,14.3,2.74,1986,2
1986-08-26,1986-08-28,25.8,24.6,1.23,1986,8
1986-10-24,1986-10-28,19.5,15.7,1.7,1986,10
1987-02-09,1987-02-12,11.6,12.9,1.097,1987,2
1987-03-03,1987-03-06,12.9,13.1,0.873,1987,3
1987-03-31,1987-04-02,14.7,21.1,3.463,1987,3
1987-05-08,1987-05-10,21,22.6,2.06,1987,5
1987-06-28,1987-06-30,24.2,28.9,2.867,1987,6
1987-08-24,1987-08-27,27,24.4,1.9,1987,8
1987-08-30,1987-09-01,25.6,28.7,2.967,1987,8
1987-09-19,1987-09-21,22.6,22.1,1.367,1987,9
1987-09-30,1987-10-03,21.2,20.4,1.22,1987,9
1987-11-07,1987-11-12,14.1,13.2,1.048,1987,11
1988-09-02,1988-09-04,26.8,23.4,2.863,1988,9
1989-04-28,1989-05-01,18.4,19.1,1.65,1989,4
1989-05-03,1989-05-08,19.2,20.9,1.538,1989,5
1989-06-23,1989-06-25,24,26,1.4,1989,6
1989-09-08,1989-09-10,24.8,23.2,1.63,1989,9
1989-12-02,1989-12-05,10.8,10.8,1.015,1989,12
1990-01-05,1990-01-07,10.4,10.8,0.893,1990,1
1990-04-15,1990-04-17,16.1,18.2,2.293,1990,4
1990-05-03,1990-05-05,18.6,23.1,1.92,1990,5
1990-07-20,1990-07-22,28.5,29.7,3.3,1990,7
1990-08-09,1990-08-12,26.8,31.9,2.885,1990,8
1990-11-10,1990-11-12,13.7,14.3,1.367,1990,11
1990-11-21,1990-11-24,11.4,11.1,0.725,1990,11
1991-02-01,1991-02-04,11.5,12.6,1.397,1991,2
1991-04-19,1991-04-21,16.2,17.2,0.5,1991,4
1991-12-25,1991-12-29,10.2,9.7,0.758,1991,12
1992-01-23,1992-01-25,10.7,11.8,0.993,1992,1
1992-01-27,1992-01-31,11.7,14.8,1.656,1992,1
1992-02-27,1992-02-29,12.4,13,0.95,1992,2
1992-03-29,1992-04-02,14.4,22.1,2.378,1992,3
1992-04-13,1992-04-16,16.8,16.9,1.27,1992,4
1992-06-21,1992-06-23,25.6,24.1,1.233,1992,6
1993-02-04,1993-02-06,13.1,14.4,2.497,1993,2
1993-05-16,1993-05-19,21.5,23.7,2.742,1993,5
1993-05-24,1993-05-27,23.7,24.1,1.695,1993,5
1993-09-07,1993-09-10,25.5,23.9,1.42,1993,9
1994-01-21,1994-01-23,12,11.2,1.557,1994,1
1994-03-26,1994-03-30,13.6,14.4,1.678,1994,3
1994-04-16,1994-04-21,16.3,16.8,1.43,1994,4
1994-05-08,1994-05-11,21.4,22.9,2.242,1994,5
1994-07-20,1994-07-24,29,27.8,2.096,1994,7
1994-12-17,1994-12-20,11.3,11.3,0.84,1994,12
1995-01-29,1995-02-01,11.5,11.7,1.947,1995,1
1995-04-25,1995-04-28,18.6,18.2,0.87,1995,4
1995-05-24,1995-05-29,21.5,22.5,1.063,1995,5
1995-06-27,1995-07-01,25.5,24.6,2.776,1995,6
1995-09-22,1995-09-24,21.5,24.8,2.93,1995,9
1995-11-13,1995-11-18,12.9,14.6,1.947,1995,11
1995-11-22,1995-11-26,12.6,11.4,1.376,1995,11
1995-12-10,1995-12-13,11.2,10.7,0.595,1995,12
1996-01-06,1996-01-11,10.5,11.4,1.327,1996,1
1996-02-16,1996-02-18,16,13.3,2.097,1996,2
1996-03-09,1996-03-11,12.9,13.9,0.73,1996,3
1996-07-27,1996-07-29,27.7,25.8,1.46,1996,7
1997-02-15,1997-02-17,12.6,12.4,0.663,1997,2
1997-05-11,1997-05-16,20.8,22.4,3.065,1997,5
1997-11-18,1997-11-20,11.9,14.7,1.393,1997,11
1997-12-28,1997-12-30,10.5,11.4,1.6,1997,12
1998-01-23,1998-01-26,11,10.5,0.567,1998,1
1998-01-30,1998-02-01,11.9,13.1,1.563,1998,1
1998-02-05,1998-02-07,11.7,15.8,1.93,1998,2
1998-04-29,1998-05-05,18.7,19.3,1.637,1998,4
1998-07-26,1998-07-29,28.3,28.2,3.862,1998,7
1998-08-30,1998-09-03,24.2,24.1,1.56,1998,8
2001-01-03,2001-01-05,10,11.7,1.193,2001,1
2001-11-14,2001-11-16,13.2,13.1,1.9,2001,11
2002-01-05,2002-01-08,9.8,11.1,1.892,2002,1
2002-11-19,2002-11-21,13.4,12.3,2.8,2002,11
2003-01-02,2003-01-07,11.7,10.9,1.762,2003,1
2003-01-23,2003-01-27,13.2,10.6,1.832,2003,1
2003-03-12,2003-03-15,13.1,14.1,0.47,2003,3
2003-06-05,2003-06-07,24.8,24.5,2.893,2003,6
2003-07-19,2003-07-21,27.9,26.1,1.533,2003,7
2003-09-04,2003-09-06,27.2,25.4,3.393,2003,9
2003-10-17,2003-10-22,16.6,17.2,1.847,2003,10
2004-03-21,2004-03-23,13.6,13.8,1.263,2004,3
2004-04-09,2004-04-13,15.5,15.7,1.84,2004,4
2004-04-29,2004-05-02,18.5,19.1,2.625,2004,4
2004-06-17,2004-06-22,25.9,27.2,3.657,2004,6
2004-07-16,2004-07-19,26.1,27.5,1.94,2004,7
2004-07-22,2004-07-24,26.7,27.6,2.193,2004,7
2004-08-14,2004-08-16,27.3,26.6,0.99,2004,8
2005-01-18,2005-01-27,11.4,10.9,2.06,2005,1
2005-01-31,2005-02-02,12.1,13.2,1.53,2005,1
2005-03-03,2005-03-10,13.2,15.3,1.42,2005,3
2005-03-12,2005-03-14,12.9,13.8,0.693,2005,3
2005-04-20,2005-04-23,16.6,19.7,1.222,2005,4
2005-04-25,2005-04-29,18.2,18.3,1.676,2005,4
2005-05-26,2005-05-28,24.4,24.2,3.063,2005,5
2005-12-20,2005-12-28,12.3,11.3,2.342,2005,12
2006-01-04,2006-01-06,10.3,12.8,1.76,2006,1
2006-05-15,2006-05-17,21.4,20.4,3.3,2006,5
2006-06-24,2006-06-26,24.2,24.4,0.733,2006,6
2006-07-02,2006-07-04,24.5,24.6,0.863,2006,7
2006-07-21,2006-07-23,28.7,26.7,2.427,2006,7
2006-09-01,2006-09-04,24,24,0.872,2006,9
2008-06-28,2008-06-30,24.4,25.9,1.733,2008,6
2008-11-15,2008-11-17,13,13.5,0.967,2008,11
2009-06-01,2009-06-05,23.5,23.3,2.58,2009,6
2009-07-26,2009-08-01,26.5,26.7,4.104,2009,7
2010-01-09,2010-01-13,11.2,10.8,2.356,2010,1
2010-01-18,2010-01-21,11.7,13,2.39,2010,1
2010-02-04,2010-02-06,13.1,11.7,1.497,2010,2
2010-02-28,2010-03-02,12.8,13.9,1.06,2010,2
2010-07-07,2010-07-09,27.8,27.1,2.76,2010,7
2010-08-13,2010-08-17,27.6,26.3,2.334,2010,8
2010-11-02,2010-11-04,15.4,15.8,1.193,2010,11
2011-01-13,2011-01-17,11.6,11.1,1.6,2011,1
2011-09-04,2011-09-09,23.4,23.1,0.843,2011,9
2012-08-15,2012-08-18,26.5,25.2,1.417,2012,8
2013-05-05,2013-05-07,20.7,20.6,2.29,2013,5
2013-06-29,2013-07-02,24.4,25.6,3.12,2013,6
2014-04-30,2014-05-02,18.9,20,2,2014,4
2014-05-12,2014-05-15,21.1,21.8,1.35,2014,5
2014-07-12,2014-07-14,26.6,27.1,1.9,2014,7
2014-09-14,2014-09-16,22.8,22.8,0.79,2014,9
2014-10-18,2014-10-20,18.5,17.1,3.133,2014,10
2014-11-26,2014-11-28,11.7,12.9,2.097,2014,11
2014-12-08,2014-12-12,12.7,12.2,2.758,2014,12
2015-01-23,2015-01-27,11.5,11.5,2.212,2015,1
2015-02-05,2015-02-08,12.6,14.3,1.622,2015,2
2015-03-11,2015-03-14,13.2,14.7,1.695,2015,3
2015-03-26,2015-03-28,18.8,14.3,3.197,2015,3
2015-06-06,2015-06-08,23,24,1.46,2015,6
2015-06-25,2015-06-30,25.5,24.8,1.95,2015,6
2015-07-02,2015-07-06,24.6,27.1,0.932,2015,7
2015-12-01,2015-12-03,10.8,13.9,1.453,2015,12
2016-03-30,2016-04-04,15,14.5,1.615,2016,3
2016-04-17,2016-04-21,16,19.1,3.516,2016,4
2016-05-01,2016-05-03,19.7,20.6,3.227,2016,5
2016-05-10,2016-05-14,20.1,21.6,1.756,2016,5
2016-06-05,2016-06-07,25.2,22.5,1.793,2016,6
2016-11-03,2016-11-05,15.7,14.6,1.53,2016,11
2016-11-07,2016-11-12,14,14.5,2.332,2016,11
2017-05-27,2017-05-29,22.2,22.9,1.9,2017,5
2017-08-27,2017-08-29,24.5,29.5,2.093,2017,8
2017-09-02,2017-09-06,26.3,26.6,2.716,2017,9
2017-11-21,2017-11-23,12,14.2,2.967,2017,11
2018-05-06,2018-05-08,19.4,19.2,0.69,2018,5
2018-05-13,2018-05-15,21.1,24,3.633,2018,5
2018-06-17,2018-06-20,24.2,25.6,1.435,2018,6
2018-07-15,2018-07-17,25.7,28.6,1.49,2018,7
2018-08-07,2018-08-10,26.4,29,2.092,2018,8
2019-01-09,2019-01-12,10.5,11.3,0.87,2019,1
2019-03-18,2019-03-23,14,13.4,1.798,2019,3
2019-04-01,2019-04-03,14.9,14.6,0.833,2019,4
2019-05-09,2019-05-11,21.4,21.4,2.86,2019,5
2019-06-11,2019-06-13,23.6,24.7,3.267,2019,6
2020-05-08,2020-05-11,20.7,22.5,2.992,2020,5
2020-08-16,2020-08-18,28.3,25.8,2.39,2020,8
2021-01-11,2021-01-13,10.1,12,1.267,2021,1
2021-04-15,2021-04-20,17.1,17,2.195,2021,4
2021-06-25,2021-06-29,25.6,32.4,6.72,2021,6
2021-07-28,2021-08-01,26.5,26.2,0.794,2021,7
2021-08-12,2021-08-14,27.6,28.1,2.097,2021,8
2021-09-08,2021-09-10,24.3,23.5,1.597,2021,9
2021-11-27,2021-12-01,11.8,12.5,1.46,2021,11
2022-07-26,2022-07-31,27,27.8,2.722,2022,7
2022-08-17,2022-08-20,25.9,24.8,1.072,2022,8
2022-08-29,2022-09-01,24.8,24.5,0.898,2022,8
2022-09-10,2022-09-12,23.6,22.9,1.733,2022,9
2022-10-02,2022-10-04,19.7,19.4,0.8,2022,10
2022-10-06,2022-10-11,19.4,17.55,1.17,2022,10
2022-10-13,2022-10-18,17.7,16.6,1.448,2022,10
2023-01-10,2023-01-14,10.6,13.8,1.556,2023,1
2023-05-11,2023-05-20,20.8,20.65,2.581,2023,5
2023-07-04,2023-07-06,25,26.3,1.123,2023,7
2023-07-14,2023-07-16,25.1,26.9,1.997,2023,7
2023-10-13,2023-10-16,18.5,16.8,1.4,2023,10
2023-12-25,2023-12-31,10.7,10.6,2.07,2023,12
2024-01-26,2024-02-02,12.4,11.2,2.457,2024,1
