x,y,SPEED_MAX_GUST,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,LOCAL_DATE,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,TOTAL_RAIN,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE,MIN_REL_HUMIDITY_FLAG,HEATING_DEGREE_DAYS,LOCAL_DAY,MIN_TEMPERATURE_FLAG,ID,LOCAL_MONTH,TOTAL_SNOW_FLAG,PROVINCE_CODE,TOTAL_SNOW,LOCAL_YEAR,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,SNOW_ON_GROUND
-119.37777777777778,49.95722222222222,56,,M,,2009-09-03 00:00:00,0,,,,,,KELOWNA,,,,20.7,,2.6,3,,1123939.2009.9.3,9,M,BC,,2009,,M,,15.4,10,1123939,6.5,
-119.37777777777778,49.95722222222222,0,,,,2009-09-04 00:00:00,0,,,,,,KELOWNA,0,,,22.5,,3.5,4,,1123939.2009.9.4,9,M,BC,,2009,,M,,14.5,6.4,1123939,0,
-119.37777777777778,49.95722222222222,44,,M,,2009-09-05 00:00:00,0,,,,,,KELOWNA,,,,19.5,,1.9,5,,1123939.2009.9.5,9,M,BC,,2009,,M,,16.1,12.6,1123939,0,
-119.37777777777778,49.95722222222222,59,,M,,2009-09-06 00:00:00,0,,,,,,KELOWNA,,,,19.2,,3.4,6,,1123939.2009.9.6,9,M,BC,,2009,,M,,14.6,9.9,1123939,5.5,
-119.37777777777778,49.95722222222222,35,,M,,2009-09-07 00:00:00,0,,,,,,KELOWNA,,,,18.1,,3.9,7,,1123939.2009.9.7,9,M,BC,,2009,,M,,14.1,10.1,1123939,0.5,
-119.37777777777778,49.95722222222222,0,,,,2009-09-08 00:00:00,0,,,,,,KELOWNA,0,,,21.2,,5.9,8,,1123939.2009.9.8,9,M,BC,,2009,,M,,12.1,2.9,1123939,0,
-119.37777777777778,49.95722222222222,35,,M,,2009-09-09 00:00:00,0,,,,,,KELOWNA,,,,19.3,,2.8,9,,1123939.2009.9.9,9,M,BC,,2009,,M,,15.2,11.1,1123939,0.3,
-119.37777777777778,49.95722222222222,0,,,,2009-09-10 00:00:00,0,,,,,,KELOWNA,0,,,22.6,,3.4,10,,1123939.2009.9.10,9,M,BC,,2009,,M,,14.6,6.5,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-11 00:00:00,0,,,,,,KELOWNA,0,,,24.4,,3.8,11,,1123939.2009.9.11,9,M,BC,,2009,,M,,14.2,4,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-13 00:00:00,0,,,,,,KELOWNA,0,,,27.4,,0.6,13,,1123939.2009.9.13,9,M,BC,,2009,,M,,17.4,7.3,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-14 00:00:00,1.6,,,,,,KELOWNA,0,,,29.9,,0,14,,1123939.2009.9.14,9,M,BC,,2009,,M,,19.6,9.2,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-15 00:00:00,0.9,,,,,,KELOWNA,0,,,27.2,,0,15,,1123939.2009.9.15,9,M,BC,,2009,,M,,18.9,10.6,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-16 00:00:00,0,,,,,,KELOWNA,0,,,28.4,,0.2,16,,1123939.2009.9.16,9,M,BC,,2009,,M,,17.8,7.1,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-17 00:00:00,0,,,,,,KELOWNA,0,,,24.8,,1,17,,1123939.2009.9.17,9,M,BC,,2009,,M,,17,9.1,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-18 00:00:00,0,,,,,,KELOWNA,0,,,26.3,,0.3,18,,1123939.2009.9.18,9,M,BC,,2009,,M,,17.7,9.1,1123939,0,
-119.37777777777778,49.95722222222222,44,,M,,2009-09-19 00:00:00,0,,,,,,KELOWNA,,,,23.3,,2.5,19,,1123939.2009.9.19,9,M,BC,,2009,,M,,15.5,7.7,1123939,0.8,
-119.37777777777778,49.95722222222222,0,,,,2009-09-20 00:00:00,0,,,,,,KELOWNA,0,,,20.2,,4.9,20,,1123939.2009.9.20,9,M,BC,,2009,,M,,13.1,6,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-21 00:00:00,0,,,,,,KELOWNA,0,,,21.9,,6.5,21,,1123939.2009.9.21,9,M,BC,,2009,,M,,11.5,1,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-22 00:00:00,0,,,,,,KELOWNA,0,,,25.7,,3.4,22,,1123939.2009.9.22,9,M,BC,,2009,,M,,14.6,3.5,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-23 00:00:00,0,,,,,,KELOWNA,0,,,25.5,,3.2,23,,1123939.2009.9.23,9,M,BC,,2009,,M,,14.8,4,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-24 00:00:00,0,,,,,,KELOWNA,0,,,28.7,,0.7,24,,1123939.2009.9.24,9,M,BC,,2009,,M,,17.3,5.8,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-25 00:00:00,0,,,,,,KELOWNA,0,,,25.1,,3.4,25,,1123939.2009.9.25,9,M,BC,,2009,,M,,14.6,4.1,1123939,0,
-119.37777777777778,49.95722222222222,59,,M,,2009-09-26 00:00:00,0.1,,,,,,KELOWNA,,,,24.8,,0,26,,1123939.2009.9.26,9,M,BC,,2009,,M,,18.1,11.3,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-27 00:00:00,0,,,,,,KELOWNA,0,,,18.1,,9.4,27,,1123939.2009.9.27,9,M,BC,,2009,,M,,8.6,-1,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-28 00:00:00,0,,,,,,KELOWNA,0,,,22.9,,5.9,28,,1123939.2009.9.28,9,M,BC,,2009,,M,,12.1,1.3,1123939,0,
-119.37777777777778,49.95722222222222,35,,M,,2009-09-29 00:00:00,0,,,,,,KELOWNA,,,,17.1,,6.6,29,,1123939.2009.9.29,9,M,BC,,2009,,M,,11.4,5.7,1123939,0,
-119.37777777777778,49.95722222222222,0,,,,2009-09-30 00:00:00,0,,,,,,KELOWNA,0,,,13.5,,7.8,30,,1123939.2009.9.30,9,M,BC,,2009,,M,,10.2,6.8,1123939,0,
-119.37777777777778,49.95722222222222,35,,M,,2009-10-01 00:00:00,0,,,,,,KELOWNA,,,,14,,8.4,1,,1123939.2009.10.1,10,M,BC,,2009,,M,,9.6,5.1,1123939,0,
